Time, tau_r1, tau_r2, tau_r3, tau_r4, tau_r5, tau_r6, tau_n1, tau_n2, tau_n3, tau_n4, tau_n5, tau_n6,
3.886, -11.7438, 38.4513, 12.7695, -4.92743, 2.85272, -1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
3.986, -11.5543, 39.209, 12.4898, -4.87556, 2.23031, -1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.086, -10.7967, 40.7243, 13.3287, -4.8237, 2.74899, -1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.186, -10.2284, 38.8302, 13.888, -4.8237, 3.31953, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.286, -9.47077, 37.8831, 13.7948, -4.8237, 3.3714, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.386, -8.71311, 39.0196, 12.3966, -4.92743, 2.38591, -1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.486, -7.3872, 39.0196, 11.8374, -4.87556, 2.90459, -1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.586, -6.25071, 39.209, 11.9306, -4.8237, 3.3714, -1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.686, -4.9248, 41.1031, 12.9559, -4.87556, 2.80086, -1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.786, -3.22006, 38.6407, 12.6763, -4.8237, 3.00833, -0.881751, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.886, -1.32591, 39.209, 10.4393, -4.8237, 2.64525, -0.829883, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
4.986, 0.378831, 40.3455, 12.0238, -4.87556, 3.73448, -0.778016, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.086, 2.08357, 41.8608, 12.4898, -4.87556, 3.11206, -0.778016, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.186, 4.35655, 42.2396, 10.7189, -4.92743, 3.63074, -0.570545, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.286, 6.06129, 42.8079, 11.1849, -4.92743, 3.42327, -0.466809, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.386, 7.76603, 43.1867, 9.97324, -4.92743, 3.11206, -0.466809, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.486, 9.28136, 42.4291, 10.7189, -4.92743, 3.63074, -0.311206, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.586, 10.9861, 42.4291, 11.5578, -5.08304, 4.04568, -0.103735, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.686, 11.1755, 41.2926, 10.6257, -5.1349, 4.92743, -0.0518677, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.786, 12.8802, 38.8302, 10.7189, -5.23864, 5.34237, 0.103735, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.886, 13.0697, 38.6407, 8.01587, -5.34237, 5.29051, 0.259339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
5.986, 13.0697, 37.8831, 10.1597, -5.44611, 5.65358, 0.363074, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.086, 13.8273, 35.9889, 8.01587, -5.60171, 6.27599, 0.570545, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.186, 15.3426, 35.2313, 10.9053, -5.86105, 5.1349, 0.778016, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.286, 14.9638, 34.0948, 8.85474, -6.01665, 5.54984, 0.881751, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.386, 15.3426, 32.39, 10.5325, -6.27599, 3.57887, 0.985486, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.486, 14.9638, 27.2758, 10.2529, -6.53533, 4.66809, 0.881751, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.586, 14.9638, 17.4262, 10.9985, -7.00214, 4.87556, 0.985486, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.686, 14.9638, 8.71311, 10.5325, -7.05401, 5.65358, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.786, 14.7744, 3.97772, 10.8121, -7.52082, 5.18677, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.886, 15.5321, 1.51532, 9.78682, -7.41708, 5.91292, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
6.986, 15.5321, 0.947077, 8.94795, -7.72829, 5.49798, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.086, 15.3426, 0.378831, 11.0917, -7.93576, 5.60171, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.186, 14.7744, 0.947077, 11.0917, -7.67642, 6.01665, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.286, 14.0167, 0.189415, 11.3714, -7.57269, 5.54984, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.386, 13.2591, -2.84123, 10.3461, -7.62455, 5.80918, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.486, 13.0697, -6.81895, 11.3714, -7.57269, 6.27599, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.586, 12.5014, -6.25071, 11.1849, -7.52082, 5.80918, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.686, 11.9332, -6.44012, 11.4646, -7.62455, 6.06852, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.786, 12.1226, -9.28136, 11.651, -7.41708, 6.63907, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.886, 11.5543, -7.57662, 10.2529, -7.67642, 6.32786, 0.985486, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
7.986, 11.5543, -7.00837, 11.7442, -7.26148, 8.14323, 1.03735, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.086, 10.6073, -10.4178, 13.0491, -7.52082, 5.75732, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.186, 9.47077, -10.2284, 10.0664, -7.20961, 7.67642, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.286, 7.00837, -8.52369, 12.5831, -7.26148, 6.32786, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.386, 4.35655, -10.2284, 12.3034, -5.44611, 8.03949, -0.0518677, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.486, 1.32591, -8.90252, 13.9812, -4.20128, 6.89841, -0.829883, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.586, -0.568246, -11.7438, 13.7948, -3.94195, 6.06852, -1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.686, -0, -8.71311, 18.5484, -3.57887, 6.7428, -1.86724, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.786, 3.78831, -13.2591, 26.1914, -2.59339, 6.37973, -2.38591, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.886, 12.1226, -8.90252, 27.5895, -3.31953, 6.69093, -2.33405, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
8.986, 18.5627, -11.3649, 29.4537, -2.85272, 7.15774, -2.33405, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.086, 22.5404, -7.19779, 27.3099, -2.95646, 7.46895, -2.43778, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.186, 21.9722, -9.47077, 26.9371, -2.95646, 7.41708, -1.86724, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.286, 22.7298, -3.97772, 26.5642, -3.16393, 7.20961, -1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.386, 20.8357, -4.54597, 25.9118, -3.89008, 6.79467, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.486, 19.131, -5.68246, 25.4457, -5.65358, 8.24697, 0.518677, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.586, 18.5627, -3.97772, 23.6748, -6.79467, 7.46895, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.686, 15.9109, -5.49305, 19.4804, -6.95027, 7.31335, 1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.786, 13.0697, -1.89415, 18.6416, -7.46895, 6.22413, 1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.886, 11.9332, -3.03065, 22.2767, -6.84654, 7.20961, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
9.986, 10.2284, 1.89415, 24.7001, -6.63907, 6.89841, 1.65977, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.086, 9.09194, -0.189415, 27.1235, -6.79467, 6.48346, 1.7635, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.186, 8.90252, 1.13649, 26.1914, -6.7428, 6.89841, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.286, 8.71311, 4.9248, 24.8865, -6.27599, 7.62455, 1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.386, 8.90252, 2.4624, 26.1914, -6.32786, 6.79467, 1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.486, 9.47077, 8.33428, 24.9797, -6.79467, 6.37973, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
