Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n, xd, yd, zd, q0d, q1d, q2d, q3d
0.335, 0.298173, -0.172716, 0.335975, 0.0773706, 0.996658, 0.0261068, -0.00238146, 0.298761, -0.172177, 0.335343, 0.0765898, 0.996703, 0.0266883, -0.00223059, 0, 0, 0, 0.0765898, 0.996703, 0.0266883, -0.00223059, 
0.336, 0.298174, -0.172715, 0.335975, 0.0773702, 0.996658, 0.0261072, -0.00238236, 0.298765, -0.172179, 0.335347, 0.0765804, 0.996704, 0.0266846, -0.0022333, 0, 0, 0, 0.0765804, 0.996704, 0.0266846, -0.0022333, 
0.337, 0.298174, -0.172715, 0.335975, 0.077371, 0.996658, 0.0261077, -0.00238237, 0.298769, -0.172182, 0.335351, 0.076571, 0.996705, 0.0266809, -0.00223601, 0, 0, 0, 0.076571, 0.996705, 0.0266809, -0.00223601, 
0.338, 0.298175, -0.172715, 0.335975, 0.0773697, 0.996658, 0.0261077, -0.00238267, 0.298772, -0.172184, 0.335356, 0.0765616, 0.996705, 0.0266771, -0.00223872, 0, 0, 0, 0.0765616, 0.996705, 0.0266771, -0.00223872, 
0.339, 0.298175, -0.172716, 0.335975, 0.0773705, 0.996658, 0.0261068, -0.00238205, 0.298776, -0.172187, 0.33536, 0.0765522, 0.996706, 0.0266733, -0.00224142, 0, 0, 0, 0.0765522, 0.996706, 0.0266733, -0.00224142, 
0.34, 0.298175, -0.172716, 0.335975, 0.0773711, 0.996658, 0.0261067, -0.00238266, 0.298779, -0.172189, 0.335365, 0.0765427, 0.996707, 0.0266694, -0.00224412, 0, 0, 0, 0.0765427, 0.996707, 0.0266694, -0.00224412, 
0.341, 0.298173, -0.172716, 0.335975, 0.0773714, 0.996658, 0.0261072, -0.00238368, 0.298783, -0.172192, 0.335369, 0.0765331, 0.996708, 0.0266655, -0.00224682, 0, 0, 0, 0.0765331, 0.996708, 0.0266655, -0.00224682, 
0.342, 0.298175, -0.172715, 0.335975, 0.0773706, 0.996658, 0.0261072, -0.00238228, 0.298787, -0.172195, 0.335374, 0.0765236, 0.996709, 0.0266616, -0.00224951, 0, 0, 0, 0.0765236, 0.996709, 0.0266616, -0.00224951, 
0.343, 0.298174, -0.172716, 0.335975, 0.0773719, 0.996658, 0.0261072, -0.00238316, 0.298791, -0.172197, 0.335378, 0.076514, 0.99671, 0.0266576, -0.0022522, 0, 0, 0, 0.076514, 0.99671, 0.0266576, -0.0022522, 
0.344, 0.298174, -0.172716, 0.335975, 0.0773719, 0.996658, 0.0261068, -0.00238195, 0.298794, -0.1722, 0.335383, 0.0765043, 0.99671, 0.0266536, -0.00225489, 0, 0, 0, 0.0765043, 0.99671, 0.0266536, -0.00225489, 
0.345, 0.298175, -0.172715, 0.335976, 0.0773724, 0.996658, 0.0261078, -0.00238035, 0.298798, -0.172203, 0.335388, 0.0764946, 0.996711, 0.0266496, -0.00225758, 0, 0, 0, 0.0764946, 0.996711, 0.0266496, -0.00225758, 
0.346, 0.298174, -0.172715, 0.335975, 0.0773724, 0.996658, 0.0261072, -0.00238248, 0.298802, -0.172205, 0.335392, 0.0764849, 0.996712, 0.0266455, -0.00226026, 0, 0, 0, 0.0764849, 0.996712, 0.0266455, -0.00226026, 
0.347, 0.298174, -0.172716, 0.335976, 0.0773724, 0.996658, 0.0261068, -0.00238119, 0.298806, -0.172208, 0.335397, 0.0764752, 0.996713, 0.0266414, -0.00226293, 0, 0, 0, 0.0764752, 0.996713, 0.0266414, -0.00226293, 
0.348, 0.298175, -0.172715, 0.335976, 0.077372, 0.996658, 0.0261078, -0.00238028, 0.29881, -0.172211, 0.335402, 0.0764654, 0.996714, 0.0266372, -0.0022656, 0, 0, 0, 0.0764654, 0.996714, 0.0266372, -0.0022656, 
0.349, 0.298174, -0.172715, 0.335975, 0.0773716, 0.996658, 0.0261077, -0.00238164, 0.298814, -0.172214, 0.335407, 0.0764555, 0.996715, 0.026633, -0.00226827, 0, 0, 0, 0.0764555, 0.996715, 0.026633, -0.00226827, 
0.35, 0.298173, -0.172716, 0.335976, 0.0773727, 0.996658, 0.0261067, -0.00238337, 0.298818, -0.172217, 0.335411, 0.0764457, 0.996716, 0.0266288, -0.00227094, 0, 0, 0, 0.0764457, 0.996716, 0.0266288, -0.00227094, 
0.351, 0.298173, -0.172716, 0.335975, 0.077372, 0.996658, 0.0261062, -0.00238281, 0.298822, -0.172219, 0.335416, 0.0764358, 0.996716, 0.0266245, -0.0022736, 0, 0, 0, 0.0764358, 0.996716, 0.0266245, -0.0022736, 
0.352, 0.298171, -0.172716, 0.335975, 0.0773723, 0.996658, 0.0261071, -0.00238483, 0.298825, -0.172222, 0.335421, 0.0764258, 0.996717, 0.0266202, -0.00227625, 0, 0, 0, 0.0764258, 0.996717, 0.0266202, -0.00227625, 
0.353, 0.298175, -0.172714, 0.335975, 0.0773724, 0.996658, 0.0261088, -0.00238024, 0.29883, -0.172225, 0.335426, 0.0764159, 0.996718, 0.0266159, -0.0022789, 0, 0, 0, 0.0764159, 0.996718, 0.0266159, -0.0022789, 
0.354, 0.298174, -0.172716, 0.335975, 0.0773724, 0.996658, 0.0261068, -0.00238228, 0.298834, -0.172228, 0.335431, 0.0764058, 0.996719, 0.0266115, -0.00228155, 0, 0, 0, 0.0764058, 0.996719, 0.0266115, -0.00228155, 
0.355, 0.298173, -0.172715, 0.335975, 0.0773724, 0.996658, 0.0261082, -0.00238251, 0.298838, -0.172231, 0.335436, 0.0763958, 0.99672, 0.0266071, -0.00228419, 0, 0, 0, 0.0763958, 0.99672, 0.0266071, -0.00228419, 
0.356, 0.298174, -0.172715, 0.335975, 0.0773724, 0.996658, 0.0261072, -0.00238248, 0.298842, -0.172234, 0.335441, 0.0763857, 0.996721, 0.0266026, -0.00228683, 0, 0, 0, 0.0763857, 0.996721, 0.0266026, -0.00228683, 
0.357, 0.298174, -0.172716, 0.335976, 0.0773728, 0.996658, 0.0261073, -0.00238073, 0.298846, -0.172237, 0.335446, 0.0763756, 0.996722, 0.0265981, -0.00228946, 0, 0, 0, 0.0763756, 0.996722, 0.0265981, -0.00228946, 
0.358, 0.298174, -0.172716, 0.335976, 0.0773715, 0.996658, 0.0261067, -0.00238243, 0.29885, -0.17224, 0.335451, 0.0763654, 0.996723, 0.0265936, -0.00229209, 0, 0, 0, 0.0763654, 0.996723, 0.0265936, -0.00229209, 
0.359, 0.298172, -0.172716, 0.335975, 0.0773714, 0.996658, 0.0261071, -0.00238433, 0.298854, -0.172243, 0.335456, 0.0763552, 0.996723, 0.026589, -0.00229472, 0, 0, 0, 0.0763552, 0.996723, 0.026589, -0.00229472, 
0.36, 0.298173, -0.172715, 0.335975, 0.0773728, 0.996657, 0.0261081, -0.00238376, 0.298858, -0.172246, 0.335461, 0.076345, 0.996724, 0.0265844, -0.00229733, 0, 0, 0, 0.076345, 0.996724, 0.0265844, -0.00229733, 
0.361, 0.298173, -0.172716, 0.335975, 0.0773724, 0.996658, 0.0261067, -0.00238246, 0.298863, -0.17225, 0.335467, 0.0763347, 0.996725, 0.0265798, -0.00229995, 0, 0, 0, 0.0763347, 0.996725, 0.0265798, -0.00229995, 
0.362, 0.298173, -0.172715, 0.335975, 0.077372, 0.996658, 0.0261077, -0.00238249, 0.298867, -0.172253, 0.335472, 0.0763244, 0.996726, 0.0265751, -0.00230256, 0, 0, 0, 0.0763244, 0.996726, 0.0265751, -0.00230256, 
0.363, 0.298173, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261072, -0.00238327, 0.298871, -0.172256, 0.335477, 0.076314, 0.996727, 0.0265704, -0.00230516, 0, 0, 0, 0.076314, 0.996727, 0.0265704, -0.00230516, 
0.364, 0.298174, -0.172715, 0.335975, 0.077372, 0.996658, 0.0261077, -0.00238194, 0.298875, -0.172259, 0.335482, 0.0763036, 0.996728, 0.0265656, -0.00230776, 0, 0, 0, 0.0763036, 0.996728, 0.0265656, -0.00230776, 
0.365, 0.298173, -0.172715, 0.335975, 0.077372, 0.996658, 0.0261077, -0.00238242, 0.29888, -0.172262, 0.335488, 0.0762932, 0.996729, 0.0265609, -0.00231035, 0, 0, 0, 0.0762932, 0.996729, 0.0265609, -0.00231035, 
0.366, 0.298173, -0.172716, 0.335975, 0.0773715, 0.996658, 0.0261067, -0.00238322, 0.298884, -0.172266, 0.335493, 0.0762827, 0.99673, 0.026556, -0.00231294, 0, 0, 0, 0.0762827, 0.99673, 0.026556, -0.00231294, 
0.367, 0.298172, -0.172716, 0.335975, 0.0773723, 0.996658, 0.0261072, -0.00238341, 0.298889, -0.172269, 0.335498, 0.0762722, 0.996731, 0.0265512, -0.00231552, 0, 0, 0, 0.0762722, 0.996731, 0.0265512, -0.00231552, 
0.368, 0.298173, -0.172715, 0.335974, 0.0773719, 0.996658, 0.0261076, -0.00238366, 0.298893, -0.172272, 0.335504, 0.0762616, 0.996732, 0.0265463, -0.00231809, 0, 0, 0, 0.0762616, 0.996732, 0.0265463, -0.00231809, 
0.369, 0.298172, -0.172715, 0.335975, 0.0773728, 0.996657, 0.0261081, -0.00238384, 0.298897, -0.172276, 0.335509, 0.0762511, 0.996733, 0.0265414, -0.00232066, 0, 0, 0, 0.0762511, 0.996733, 0.0265414, -0.00232066, 
0.37, 0.298173, -0.172715, 0.335975, 0.0773724, 0.996658, 0.0261076, -0.00238375, 0.298902, -0.172279, 0.335514, 0.0762404, 0.996734, 0.0265364, -0.00232323, 0, 0, 0, 0.0762404, 0.996734, 0.0265364, -0.00232323, 
0.371, 0.298175, -0.172715, 0.335975, 0.0773712, 0.996658, 0.0261073, -0.00238144, 0.298906, -0.172282, 0.33552, 0.0762298, 0.996735, 0.0265314, -0.00232579, 0, 0, 0, 0.0762298, 0.996735, 0.0265314, -0.00232579, 
0.372, 0.298173, -0.172716, 0.335975, 0.0773724, 0.996658, 0.0261072, -0.00238285, 0.298911, -0.172286, 0.335525, 0.0762191, 0.996735, 0.0265264, -0.00232834, 0, 0, 0, 0.0762191, 0.996735, 0.0265264, -0.00232834, 
0.373, 0.298173, -0.172715, 0.335975, 0.0773725, 0.996658, 0.0261077, -0.0023829, 0.298916, -0.172289, 0.335531, 0.0762083, 0.996736, 0.0265213, -0.00233089, 0, 0, 0, 0.0762083, 0.996736, 0.0265213, -0.00233089, 
0.374, 0.298174, -0.172715, 0.335975, 0.0773719, 0.996658, 0.0261077, -0.00238231, 0.29892, -0.172293, 0.335537, 0.0761976, 0.996737, 0.0265162, -0.00233343, 0, 0, 0, 0.0761976, 0.996737, 0.0265162, -0.00233343, 
0.375, 0.298174, -0.172715, 0.335975, 0.0773729, 0.996657, 0.0261077, -0.00238194, 0.298925, -0.172296, 0.335542, 0.0761867, 0.996738, 0.026511, -0.00233596, 0, 0, 0, 0.0761867, 0.996738, 0.026511, -0.00233596, 
0.376, 0.298174, -0.172714, 0.335974, 0.0773721, 0.996658, 0.0261081, -0.00238325, 0.298929, -0.1723, 0.335548, 0.0761759, 0.996739, 0.0265058, -0.00233849, 0, 0, 0, 0.0761759, 0.996739, 0.0265058, -0.00233849, 
0.377, 0.298172, -0.172715, 0.335975, 0.0773728, 0.996657, 0.0261076, -0.00238374, 0.298934, -0.172303, 0.335553, 0.076165, 0.99674, 0.0265006, -0.00234101, 0, 0, 0, 0.076165, 0.99674, 0.0265006, -0.00234101, 
0.378, 0.298174, -0.172715, 0.335975, 0.0773729, 0.996657, 0.0261077, -0.00238212, 0.298939, -0.172307, 0.335559, 0.0761541, 0.996741, 0.0264954, -0.00234353, 0, 0, 0, 0.0761541, 0.996741, 0.0264954, -0.00234353, 
0.379, 0.298174, -0.172715, 0.335975, 0.0773725, 0.996658, 0.0261082, -0.00238158, 0.298944, -0.172311, 0.335565, 0.0761431, 0.996742, 0.0264901, -0.00234604, 0, 0, 0, 0.0761431, 0.996742, 0.0264901, -0.00234604, 
0.38, 0.298174, -0.172716, 0.335976, 0.0773733, 0.996657, 0.0261073, -0.00238114, 0.298948, -0.172314, 0.33557, 0.0761321, 0.996743, 0.0264848, -0.00234854, 0, 0, 0, 0.0761321, 0.996743, 0.0264848, -0.00234854, 
0.381, 0.298173, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261072, -0.00238337, 0.298953, -0.172318, 0.335576, 0.0761211, 0.996744, 0.0264794, -0.00235104, 0, 0, 0, 0.0761211, 0.996744, 0.0264794, -0.00235104, 
0.382, 0.298174, -0.172716, 0.335976, 0.0773729, 0.996658, 0.0261067, -0.00238247, 0.298958, -0.172321, 0.335582, 0.07611, 0.996745, 0.026474, -0.00235353, 0, 0, 0, 0.07611, 0.996745, 0.026474, -0.00235353, 
0.383, 0.298175, -0.172715, 0.335975, 0.0773734, 0.996657, 0.0261082, -0.00238161, 0.298963, -0.172325, 0.335588, 0.0760988, 0.996746, 0.0264686, -0.00235601, 0, 0, 0, 0.0760988, 0.996746, 0.0264686, -0.00235601, 
0.384, 0.298173, -0.172715, 0.335975, 0.0773733, 0.996657, 0.0261076, -0.0023833, 0.298968, -0.172329, 0.335594, 0.0760877, 0.996747, 0.0264631, -0.00235849, 0, 0, 0, 0.0760877, 0.996747, 0.0264631, -0.00235849, 
0.385, 0.298174, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261073, -0.00238147, 0.298973, -0.172333, 0.3356, 0.0760765, 0.996748, 0.0264576, -0.00236096, 0, 0, 0, 0.0760765, 0.996748, 0.0264576, -0.00236096, 
0.386, 0.298174, -0.172715, 0.335975, 0.077372, 0.996658, 0.0261072, -0.00238247, 0.298978, -0.172336, 0.335606, 0.0760652, 0.996749, 0.0264521, -0.00236342, 0, 0, 0, 0.0760652, 0.996749, 0.0264521, -0.00236342, 
0.387, 0.298173, -0.172715, 0.335975, 0.0773725, 0.996658, 0.0261072, -0.00238327, 0.298982, -0.17234, 0.335611, 0.076054, 0.99675, 0.0264465, -0.00236587, 0, 0, 0, 0.076054, 0.99675, 0.0264465, -0.00236587, 
0.388, 0.298173, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261072, -0.00238288, 0.298987, -0.172344, 0.335617, 0.0760427, 0.996751, 0.0264409, -0.00236832, 0, 0, 0, 0.0760427, 0.996751, 0.0264409, -0.00236832, 
0.389, 0.298174, -0.172715, 0.335975, 0.077373, 0.996657, 0.0261082, -0.0023816, 0.298993, -0.172348, 0.335623, 0.0760313, 0.996752, 0.0264352, -0.00237077, 0, 0, 0, 0.0760313, 0.996752, 0.0264352, -0.00237077, 
0.39, 0.298174, -0.172715, 0.335975, 0.0773724, 0.996658, 0.0261077, -0.00238154, 0.298998, -0.172352, 0.335629, 0.0760199, 0.996753, 0.0264296, -0.0023732, 0, 0, 0, 0.0760199, 0.996753, 0.0264296, -0.0023732, 
0.391, 0.298173, -0.172716, 0.335975, 0.0773747, 0.996657, 0.0261072, -0.00238339, 0.299003, -0.172356, 0.335635, 0.0760085, 0.996754, 0.0264239, -0.00237563, 0, 0, 0, 0.0760085, 0.996754, 0.0264239, -0.00237563, 
0.392, 0.298173, -0.172716, 0.335975, 0.0773737, 0.996657, 0.0261067, -0.00238237, 0.299008, -0.17236, 0.335642, 0.075997, 0.996755, 0.0264181, -0.00237805, 0, 0, 0, 0.075997, 0.996755, 0.0264181, -0.00237805, 
0.393, 0.298173, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261071, -0.00238383, 0.299013, -0.172364, 0.335648, 0.0759855, 0.996756, 0.0264123, -0.00238046, 0, 0, 0, 0.0759855, 0.996756, 0.0264123, -0.00238046, 
0.394, 0.298174, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261068, -0.00238188, 0.299018, -0.172368, 0.335654, 0.0759739, 0.996757, 0.0264065, -0.00238287, 0, 0, 0, 0.0759739, 0.996757, 0.0264065, -0.00238287, 
0.395, 0.298174, -0.172716, 0.335975, 0.0773739, 0.996657, 0.0261068, -0.00238137, 0.299023, -0.172372, 0.33566, 0.0759623, 0.996758, 0.0264007, -0.00238526, 0, 0, 0, 0.0759623, 0.996758, 0.0264007, -0.00238526, 
0.396, 0.298174, -0.172715, 0.335975, 0.0773733, 0.996657, 0.0261077, -0.00238251, 0.299029, -0.172376, 0.335666, 0.0759507, 0.996759, 0.0263948, -0.00238765, 0, 0, 0, 0.0759507, 0.996759, 0.0263948, -0.00238765, 
0.397, 0.298174, -0.172716, 0.335976, 0.0773738, 0.996657, 0.0261073, -0.00238163, 0.299034, -0.17238, 0.335672, 0.0759391, 0.99676, 0.0263889, -0.00239004, 0, 0, 0, 0.0759391, 0.99676, 0.0263889, -0.00239004, 
0.398, 0.298174, -0.172715, 0.335975, 0.0773725, 0.996658, 0.0261073, -0.00238156, 0.299039, -0.172384, 0.335678, 0.0759273, 0.996761, 0.0263829, -0.00239241, 0, 0, 0, 0.0759273, 0.996761, 0.0263829, -0.00239241, 
0.399, 0.298173, -0.172715, 0.335975, 0.0773734, 0.996657, 0.0261081, -0.00238303, 0.299044, -0.172388, 0.335685, 0.0759156, 0.996762, 0.0263769, -0.00239478, 0, 0, 0, 0.0759156, 0.996762, 0.0263769, -0.00239478, 
0.4, 0.298174, -0.172715, 0.335975, 0.0773743, 0.996657, 0.0261082, -0.00238248, 0.29905, -0.172392, 0.335691, 0.0759038, 0.996763, 0.0263709, -0.00239714, 0, 0, 0, 0.0759038, 0.996763, 0.0263709, -0.00239714, 
0.401, 0.298173, -0.172716, 0.335975, 0.0773729, 0.996658, 0.0261072, -0.00238366, 0.299055, -0.172396, 0.335697, 0.075892, 0.996765, 0.0263648, -0.00239949, 0, 0, 0, 0.075892, 0.996765, 0.0263648, -0.00239949, 
0.402, 0.298174, -0.172715, 0.335975, 0.0773734, 0.996657, 0.0261082, -0.00238248, 0.299061, -0.1724, 0.335704, 0.0758801, 0.996766, 0.0263588, -0.00240184, 0, 0, 0, 0.0758801, 0.996766, 0.0263588, -0.00240184, 
0.403, 0.298174, -0.172715, 0.335976, 0.0773729, 0.996657, 0.0261073, -0.00238162, 0.299066, -0.172404, 0.33571, 0.0758682, 0.996767, 0.0263526, -0.00240417, 0, 0, 0, 0.0758682, 0.996767, 0.0263526, -0.00240417, 
0.404, 0.298174, -0.172715, 0.335975, 0.077373, 0.996657, 0.0261078, -0.0023812, 0.299071, -0.172409, 0.335716, 0.0758563, 0.996768, 0.0263465, -0.0024065, 0, 0, 0, 0.0758563, 0.996768, 0.0263465, -0.0024065, 
0.405, 0.298173, -0.172715, 0.335975, 0.0773729, 0.996657, 0.0261077, -0.00238291, 0.299077, -0.172413, 0.335723, 0.0758443, 0.996769, 0.0263403, -0.00240882, 0, 0, 0, 0.0758443, 0.996769, 0.0263403, -0.00240882, 
0.406, 0.298175, -0.172716, 0.335975, 0.0773734, 0.996657, 0.0261073, -0.00238146, 0.299082, -0.172417, 0.335729, 0.0758323, 0.99677, 0.0263341, -0.00241114, 0, 0, 0, 0.0758323, 0.99677, 0.0263341, -0.00241114, 
0.407, 0.298173, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261063, -0.00238236, 0.299088, -0.172421, 0.335736, 0.0758202, 0.996771, 0.0263278, -0.00241344, 0, 0, 0, 0.0758202, 0.996771, 0.0263278, -0.00241344, 
0.408, 0.298174, -0.172716, 0.335975, 0.0773739, 0.996657, 0.0261067, -0.00238242, 0.299094, -0.172426, 0.335742, 0.0758081, 0.996772, 0.0263215, -0.00241574, 0, 0, 0, 0.0758081, 0.996772, 0.0263215, -0.00241574, 
0.409, 0.298173, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261067, -0.00238326, 0.299099, -0.17243, 0.335749, 0.075796, 0.996773, 0.0263152, -0.00241803, 0, 0, 0, 0.075796, 0.996773, 0.0263152, -0.00241803, 
0.41, 0.298174, -0.172715, 0.335975, 0.077373, 0.996657, 0.0261072, -0.00238194, 0.299105, -0.172434, 0.335755, 0.0757838, 0.996774, 0.0263088, -0.00242031, 0, 0, 0, 0.0757838, 0.996774, 0.0263088, -0.00242031, 
0.411, 0.298174, -0.172715, 0.335975, 0.0773738, 0.996657, 0.0261077, -0.00238205, 0.299111, -0.172439, 0.335762, 0.0757716, 0.996775, 0.0263024, -0.00242258, 0, 0, 0, 0.0757716, 0.996775, 0.0263024, -0.00242258, 
0.412, 0.298175, -0.172715, 0.335976, 0.077372, 0.996658, 0.0261078, -0.00238125, 0.299116, -0.172443, 0.335768, 0.0757593, 0.996776, 0.026296, -0.00242484, 0, 0, 0, 0.0757593, 0.996776, 0.026296, -0.00242484, 
0.413, 0.298175, -0.172715, 0.335975, 0.0773739, 0.996657, 0.0261077, -0.00238191, 0.299122, -0.172448, 0.335775, 0.075747, 0.996777, 0.0262895, -0.0024271, 0, 0, 0, 0.075747, 0.996777, 0.0262895, -0.0024271, 
0.414, 0.298173, -0.172715, 0.335975, 0.0773728, 0.996657, 0.0261076, -0.00238337, 0.299128, -0.172452, 0.335782, 0.0757347, 0.996779, 0.0262831, -0.00242934, 0, 0, 0, 0.0757347, 0.996779, 0.0262831, -0.00242934, 
0.415, 0.298174, -0.172715, 0.335975, 0.0773743, 0.996657, 0.0261077, -0.00238206, 0.299134, -0.172457, 0.335788, 0.0757223, 0.99678, 0.0262765, -0.00243158, 0, 0, 0, 0.0757223, 0.99678, 0.0262765, -0.00243158, 
0.416, 0.298174, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261072, -0.00238248, 0.299139, -0.172461, 0.335795, 0.0757099, 0.996781, 0.02627, -0.00243381, 0, 0, 0, 0.0757099, 0.996781, 0.02627, -0.00243381, 
0.417, 0.298174, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261068, -0.00238192, 0.299145, -0.172466, 0.335802, 0.0756975, 0.996782, 0.0262634, -0.00243603, 0, 0, 0, 0.0756975, 0.996782, 0.0262634, -0.00243603, 
0.418, 0.298174, -0.172715, 0.335975, 0.0773738, 0.996657, 0.0261077, -0.00238205, 0.299151, -0.17247, 0.335808, 0.075685, 0.996783, 0.0262568, -0.00243824, 0, 0, 0, 0.075685, 0.996783, 0.0262568, -0.00243824, 
0.419, 0.298173, -0.172716, 0.335975, 0.077373, 0.996658, 0.0261067, -0.00238231, 0.299157, -0.172475, 0.335815, 0.0756724, 0.996784, 0.0262501, -0.00244044, 0, 0, 0, 0.0756724, 0.996784, 0.0262501, -0.00244044, 
0.42, 0.298173, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261062, -0.00238284, 0.299163, -0.172479, 0.335822, 0.0756598, 0.996785, 0.0262434, -0.00244264, 0, 0, 0, 0.0756598, 0.996785, 0.0262434, -0.00244264, 
0.421, 0.298174, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261072, -0.00238289, 0.299169, -0.172484, 0.335829, 0.0756472, 0.996786, 0.0262367, -0.00244483, 0, 0, 0, 0.0756472, 0.996786, 0.0262367, -0.00244483, 
0.422, 0.298174, -0.172716, 0.335975, 0.0773752, 0.996657, 0.0261072, -0.00238245, 0.299175, -0.172489, 0.335835, 0.0756346, 0.996788, 0.0262299, -0.002447, 0, 0, 0, 0.0756346, 0.996788, 0.0262299, -0.002447, 
0.423, 0.298174, -0.172715, 0.335975, 0.0773743, 0.996657, 0.0261077, -0.00238198, 0.299181, -0.172493, 0.335842, 0.0756219, 0.996789, 0.0262232, -0.00244917, 0, 0, 0, 0.0756219, 0.996789, 0.0262232, -0.00244917, 
0.424, 0.298174, -0.172716, 0.335975, 0.0773748, 0.996657, 0.0261067, -0.00238244, 0.299187, -0.172498, 0.335849, 0.0756091, 0.99679, 0.0262163, -0.00245133, 0, 0, 0, 0.0756091, 0.99679, 0.0262163, -0.00245133, 
0.425, 0.298174, -0.172715, 0.335975, 0.077373, 0.996657, 0.0261072, -0.00238204, 0.299193, -0.172503, 0.335856, 0.0755964, 0.996791, 0.0262095, -0.00245348, 0, 0, 0, 0.0755964, 0.996791, 0.0262095, -0.00245348, 
0.426, 0.298173, -0.172715, 0.335975, 0.0773734, 0.996657, 0.0261072, -0.0023829, 0.299199, -0.172507, 0.335863, 0.0755836, 0.996792, 0.0262026, -0.00245562, 0, 0, 0, 0.0755836, 0.996792, 0.0262026, -0.00245562, 
0.427, 0.298174, -0.172715, 0.335975, 0.0773733, 0.996657, 0.0261077, -0.00238156, 0.299206, -0.172512, 0.33587, 0.0755707, 0.996793, 0.0261957, -0.00245775, 0, 0, 0, 0.0755707, 0.996793, 0.0261957, -0.00245775, 
0.428, 0.298173, -0.172715, 0.335975, 0.0773738, 0.996657, 0.0261082, -0.00238255, 0.299212, -0.172517, 0.335877, 0.0755578, 0.996794, 0.0261887, -0.00245988, 0, 0, 0, 0.0755578, 0.996794, 0.0261887, -0.00245988, 
0.429, 0.298174, -0.172715, 0.335975, 0.0773743, 0.996657, 0.0261077, -0.00238214, 0.299218, -0.172522, 0.335884, 0.0755449, 0.996796, 0.0261818, -0.00246199, 0, 0, 0, 0.0755449, 0.996796, 0.0261818, -0.00246199, 
0.43, 0.298173, -0.172716, 0.335975, 0.0773756, 0.996657, 0.0261067, -0.0023825, 0.299224, -0.172526, 0.335891, 0.0755319, 0.996797, 0.0261747, -0.0024641, 0, 0, 0, 0.0755319, 0.996797, 0.0261747, -0.0024641, 
0.431, 0.298174, -0.172716, 0.335975, 0.0773743, 0.996657, 0.0261073, -0.00238109, 0.299231, -0.172531, 0.335898, 0.0755189, 0.996798, 0.0261677, -0.00246619, 0, 0, 0, 0.0755189, 0.996798, 0.0261677, -0.00246619, 
0.432, 0.298174, -0.172715, 0.335975, 0.0773743, 0.996657, 0.0261077, -0.00238151, 0.299237, -0.172536, 0.335905, 0.0755058, 0.996799, 0.0261606, -0.00246828, 0, 0, 0, 0.0755058, 0.996799, 0.0261606, -0.00246828, 
0.433, 0.298172, -0.172715, 0.335975, 0.0773734, 0.996657, 0.0261076, -0.00238482, 0.299243, -0.172541, 0.335912, 0.0754927, 0.9968, 0.0261535, -0.00247036, 0, 0, 0, 0.0754927, 0.9968, 0.0261535, -0.00247036, 
0.434, 0.298173, -0.172716, 0.335975, 0.0773733, 0.996657, 0.0261072, -0.00238288, 0.29925, -0.172546, 0.335919, 0.0754796, 0.996801, 0.0261464, -0.00247242, 0, 0, 0, 0.0754796, 0.996801, 0.0261464, -0.00247242, 
0.435, 0.298174, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261072, -0.00238242, 0.299256, -0.172551, 0.335926, 0.0754664, 0.996803, 0.0261392, -0.00247448, 0, 0, 0, 0.0754664, 0.996803, 0.0261392, -0.00247448, 
0.436, 0.298175, -0.172715, 0.335975, 0.0773725, 0.996658, 0.0261077, -0.00238148, 0.299263, -0.172556, 0.335933, 0.0754532, 0.996804, 0.026132, -0.00247653, 0, 0, 0, 0.0754532, 0.996804, 0.026132, -0.00247653, 
0.437, 0.298174, -0.172716, 0.335975, 0.0773738, 0.996657, 0.0261073, -0.00238107, 0.299269, -0.172561, 0.33594, 0.07544, 0.996805, 0.0261248, -0.00247857, 0, 0, 0, 0.07544, 0.996805, 0.0261248, -0.00247857, 
0.438, 0.298174, -0.172715, 0.335976, 0.0773742, 0.996657, 0.0261077, -0.00238174, 0.299275, -0.172566, 0.335947, 0.0754267, 0.996806, 0.0261175, -0.0024806, 0, 0, 0, 0.0754267, 0.996806, 0.0261175, -0.0024806, 
0.439, 0.298174, -0.172715, 0.335975, 0.0773738, 0.996657, 0.0261077, -0.00238236, 0.299282, -0.172571, 0.335955, 0.0754133, 0.996807, 0.0261102, -0.00248262, 0, 0, 0, 0.0754133, 0.996807, 0.0261102, -0.00248262, 
