Time, Fx, Fy, Fz, Tx, Ty, Yz, Fx_tmp, Fy_tmp, Fz_tmp, Tx_tmp, Ty_tmp, Tz_tmp
22.688, 1.7, 0, -1.22, 0, 0, 0, 1.7, -0.04, -1.22, 0.0015, 0.0175, -0.002, 
22.788, 1.74, 0, -1.2, 0, 0, 0, 1.74, -0.28, -1.2, -0.0025, 0.007, -0.0035, 
22.888, 1.88, 0, -1.48, 0, 0, 0, 1.88, 0.14, -1.48, -0.0005, 0.0205, 0, 
22.988, 1.88, 0, -1.32, 0, 0, 0, 1.88, 0.04, -1.32, 0.0005, 0.0185, -0.0035, 
23.088, 1.88, 0, -1.5, 0, 0, 0, 1.88, -0.32, -1.5, -0.0055, 0.0195, 0.0005, 
23.188, 1.64, 0, -1.2, 0, 0, 0, 1.64, -0.06, -1.2, -0.0025, 0.022, -0.001, 
23.288, 1.88, 0, -1.18, 0, 0, 0, 1.88, -0.14, -1.18, -0.0085, 0.024, 0, 
23.388, 1.8, 0, -1.58, 0, 0, 0, 1.8, -0.16, -1.58, -0.0025, 0.0195, 0.001, 
23.488, 1.82, 0, -1.56, 0, 0, 0, 1.82, 0.2, -1.56, 0.0035, 0.02, 0.002, 
23.588, 1.84, 0, -1.32, 0, 0, 0, 1.84, 0.14, -1.32, -0.004, 0.018, 0.001, 
23.688, 1.9, 0, -1.34, 0, 0, -0.0085, 1.9, 0.2, -1.34, 0.002, 0.013, -0.0085, 
23.788, 1.64, 0, -1.54, 0, 0, 0.007, 1.64, -0.2, -1.54, -0.0105, 0.0195, 0.007, 
23.888, 1.88, 0, -1.48, 0, 0, 0.0085, 1.88, -0.06, -1.48, 0.0025, 0.0215, 0.0085, 
23.988, 1.68, 0, -1, 0, 0, -0.0055, 1.68, 0, -1, -0.009, 0.0235, -0.0055, 
24.088, 1.98, 0, -1.26, 0, 0, 0, 1.98, 0.2, -1.26, 0.009, 0.0205, 0, 
24.188, 1.9, 0, -1.44, 0, 0, 0.0085, 1.9, -0.1, -1.44, 0.0005, 0.0215, 0.0085, 
24.288, 1.78, 0, -1.74, 0, 0, -0.005, 1.78, 0.08, -1.74, -0.0115, 0.019, -0.005, 
24.388, 1.92, 0, -1.48, 0, 0, -0.0065, 1.92, 0.08, -1.48, -0.002, 0.0145, -0.0065, 
24.488, 1.72, 0, -1.8, 0, 0, -0.0085, 1.72, 0.22, -1.8, -0.0015, 0.0205, -0.0085, 
24.588, 1.74, 0, -1.22, 0, 0, -0.005, 1.74, -0.04, -1.22, -0.0045, 0.0155, -0.005, 
24.688, 1.82, 0, -0.96, 0, 0, 0, 1.82, -0.14, -0.96, 0, 0.0255, 0.0025, 
24.788, 2.02, 0, -1.2, 0, 0, 0, 2.02, 0.1, -1.2, 0.0025, 0.015, -0.002, 
24.888, 1.7, 0, -1.24, 0, 0, 0.0065, 1.7, -0.14, -1.24, 0.001, 0.022, 0.0065, 
24.988, 1.8, 0, -1.64, 0, 0, 0, 1.8, -0.2, -1.64, -0.009, 0.017, 0.001, 
25.088, 1.66, 0, -1.34, 0, 0, 0, 1.66, 0.16, -1.34, -0.0045, 0.0385, 0.0015, 
25.188, 2, 0, -1.5, 0, 0, 0, 2, 0, -1.5, -0.0025, 0.0185, -0.0005, 
25.288, 1.8, 0, -1.56, 0, 0, 0, 1.8, -0.02, -1.56, -0.001, 0.0195, -0.0015, 
25.388, 1.76, 0, -1.24, 0, 0, 0, 1.76, -0.1, -1.24, -0.0155, 0.017, -0.003, 
25.488, 1.86, 0, -1.26, 0, 0, 0, 1.86, -0.3, -1.26, -0.0125, 0.0195, -0.003, 
25.588, 2, 0, -1.54, 0, 0, 0, 2, 0.08, -1.54, 0.0025, 0.0195, 0.003, 
25.688, 1.66, 0, -1.3, 0, 0, 0, 1.66, -0.22, -1.3, -0.0055, 0.0255, 0.0035, 
25.788, 1.52, 0, -1.1, 0, 0, -0.006, 1.52, 0.1, -1.1, -0.0065, 0.0225, -0.006, 
25.888, 1.48, 0, -1.24, 0, 0, 0, 1.48, -0.18, -1.24, -0.0035, 0.024, 0.0045, 
25.988, 1.88, 0, -1.5, 0, 0, 0, 1.88, -0.1, -1.5, -0.0145, 0.022, -0.0015, 
26.088, 1.74, 0, -0.94, 0, 0, 0, 1.74, -0.12, -0.94, -0.0075, 0.0255, -0.0005, 
26.188, 1.66, 0, -1.52, 0, 0, 0, 1.66, 0.02, -1.52, -0.002, 0.0215, -0.004, 
26.288, 1.74, 0, -1.66, 0, 0, 0, 1.74, 0.2, -1.66, 0.0035, 0.022, 0.0015, 
26.388, 1.78, 0, -1.28, 0, 0, 0, 1.78, -0.28, -1.28, -0.006, 0.02, 0.0025, 
26.488, 1.92, 0, -1.34, 0, 0, 0, 1.92, -0.26, -1.34, -0.007, 0.0215, 0.0025, 
26.588, 1.88, 0, -1.16, 0, 0, 0.005, 1.88, -0.14, -1.16, -0.003, 0.027, 0.005, 
26.688, 1.66, 0, -1.58, 0, 0, -0.0075, 1.66, -0.12, -1.58, -0.0085, 0.0275, -0.0075, 
26.788, 1.62, 0, -1.46, 0, 0, 0, 1.62, -0.24, -1.46, -0.0085, 0.024, 0.002, 
26.888, 1.66, 0, -1.14, 0, 0, -0.0055, 1.66, -0.26, -1.14, 0, 0.025, -0.0055, 
26.988, 1.86, 0, -1.24, 0, 0, 0.009, 1.86, -0.42, -1.24, -0.0015, 0.0215, 0.009, 
27.088, 1.78, 0, -1.7, 0, 0, -0.006, 1.78, -0.04, -1.7, -0.007, 0.0225, -0.006, 
27.188, 1.82, 0, -1.4, 0, 0, 0, 1.82, -0.08, -1.4, -0.0025, 0.0145, -0.001, 
27.288, 1.92, 0, -1.32, 0, 0, 0, 1.92, -0.04, -1.32, -0.004, 0.0245, -0.001, 
27.388, 1.66, 0, -1.66, 0, 0, 0, 1.66, -0.06, -1.66, -0.01, 0.015, 0.0025, 
27.488, 2.04, 0, -1.4, 0, 0, 0.0055, 2.04, -0.16, -1.4, -0.006, 0.026, 0.0055, 
27.588, 1.74, 0, -1.38, 0, 0, -0.0055, 1.74, -0.18, -1.38, -0.0075, 0.0195, -0.0055, 
27.688, 1.76, 0, -1.68, 0, 0, 0, 1.76, -0.08, -1.68, -0.004, 0.0255, 0.004, 
27.788, 1.78, 0, -1.52, 0, 0, -0.006, 1.78, 0.04, -1.52, 0.005, 0.0285, -0.006, 
27.888, 1.92, 0, -1.42, 0, 0, -0.005, 1.92, 0, -1.42, -0.001, 0.0135, -0.005, 
27.988, 1.86, 0, -1.8, 0, 0, 0.0105, 1.86, -0.08, -1.8, -0.003, 0.0175, 0.0105, 
28.088, 1.5, 0, -1.58, 0, 0, 0, 1.5, 0.18, -1.58, -0.001, 0.0245, -0.001, 
28.188, 1.72, 0, -1.4, 0, 0, 0, 1.72, -0.08, -1.4, -0.0055, 0.021, 0.001, 
28.288, 1.7, 0, -0.82, 0, 0, -0.005, 1.7, -0.1, -0.82, -0.004, 0.0375, -0.005, 
28.388, 2.14, 0, -1.62, 0, 0, 0, 2.14, -0.2, -1.62, -0.014, 0.013, 0.002, 
28.488, 1.76, 0, -1.3, 0, 0, 0, 1.76, -0.26, -1.3, 0.0025, 0.0165, 0.001, 
28.588, 1.98, 0, -1.42, 0, 0, 0, 1.98, -0.16, -1.42, -0.003, 0.0155, 0.001, 
28.688, 1.74, 0, -1.4, 0, 0, 0, 1.74, 0.02, -1.4, -0.003, 0.0275, 0.001, 
28.788, 1.96, 0, -1.34, 0, 0, 0, 1.96, 0.06, -1.34, -0.0065, 0.011, -0.0005, 
28.888, 1.9, 0, -1, 0, 0, 0, 1.9, -0.1, -1, -0.011, 0.0215, -0.002, 
28.988, 1.86, 0, -1.74, 0, 0, -0.006, 1.86, 0, -1.74, 0.0025, 0.012, -0.006, 
29.088, 1.82, 0, -1.16, 0, 0, 0.005, 1.82, -0.24, -1.16, -0.013, 0.029, 0.005, 
29.188, 1.92, 0, -1.4, 0, 0, 0, 1.92, -0.26, -1.4, -0.0045, 0.0205, 0.0025, 
29.288, 1.76, 0, -1.28, 0, 0, 0, 1.76, 0.34, -1.28, 0.001, 0.0295, -0.0045, 
29.388, 1.9, 0, -1.86, 0, 0, 0, 1.9, -0.32, -1.86, -0.008, 0.0125, 0.002, 
29.488, 2.12, 0, -1.78, 0, 0, 0.011, 2.12, -0.22, -1.78, -0.007, 0.026, 0.011, 
29.588, 1.8, 0, -1.18, 0, 0, 0, 1.8, -0.04, -1.18, 0.007, 0.019, 0.003, 
29.688, 1.74, 0, -1.54, 0, 0, 0, 1.74, -0.26, -1.54, -0.0225, 0.021, 0.0005, 
29.788, 1.68, 0, -1.52, 0, 0, 0, 1.68, 0.06, -1.52, -0.0065, 0.025, -0.002, 
29.888, 2, 0, -1.06, 0, 0, 0, 2, -0.08, -1.06, 0, 0.0265, 0.0015, 
29.988, 1.88, 0, -1.38, 0, 0, 0, 1.88, -0.04, -1.38, -0.0015, 0.022, -0.0005, 
30.088, 1.72, 0, -1.48, 0, 0, 0, 1.72, -0.02, -1.48, -0.001, 0.027, 0, 
30.188, 1.92, 0, -1.42, 0, 0, 0, 1.92, -0.12, -1.42, -0.009, 0.014, 0.0025, 
30.288, 1.68, 0, -1.56, 0, 0, 0, 1.68, -0.3, -1.56, -0.0105, 0.019, 0.002, 
30.388, 1.94, 0, -1.5, 0, 0, 0, 1.94, -0.02, -1.5, -0.0045, 0.014, -0.002, 
30.488, 1.72, 0, -1.16, 0, 0, -0.009, 1.72, 0.42, -1.16, 0.0035, 0.0275, -0.009, 
30.588, 1.96, 0, -1.94, 0, 0, 0.006, 1.96, -0.2, -1.94, -0.0025, 0.0165, 0.006, 
30.688, 1.94, 0, -1.08, 0, 0, 0, 1.94, 0.2, -1.08, -0.004, 0.021, -0.0035, 
30.788, 2.06, 0, -1.56, 0, 0, 0, 2.06, -0.02, -1.56, -0.003, 0.0115, -0.001, 
30.888, 1.92, 0, -1.48, 0, 0, 0, 1.92, 0.34, -1.48, 0.0105, 0.018, -0.002, 
30.988, 1.6, 0, -1.5, 0, 0, -0.0095, 1.6, 0.04, -1.5, -0.0065, 0.026, -0.0095, 
31.088, 1.94, 0, -1.48, 0, 0, 0, 1.94, -0.36, -1.48, -0.0045, 0.0245, 0.0035, 
31.188, 2.02, 0, -0.96, 0, 0, -0.007, 2.02, 0.3, -0.96, -0.0005, 0.023, -0.007, 
31.288, 1.68, 0, -1.52, 0, 0, 0, 1.68, -0.4, -1.52, -0.014, 0.0135, 0, 
31.388, 1.66, 0, -1.44, 0, 0, 0, 1.66, -0.3, -1.44, -0.0005, 0.0235, 0, 
31.488, 1.88, 0, -1.28, 0, 0, 0, 1.88, -0.16, -1.28, 0.006, 0.021, 0.0045, 
31.588, 1.72, 0, -1.66, 0, 0, 0, 1.72, 0.02, -1.66, 0, 0.014, -0.0025, 
31.688, 1.68, 0, -1.5, 0, 0, 0.005, 1.68, -0.2, -1.5, -0.0045, 0.0215, 0.005, 
31.788, 1.86, 0, -1.66, 0, 0, 0, 1.86, 0.16, -1.66, 0.0035, 0.0285, -0.004, 
31.888, 1.82, 0, -1.42, 0, 0, 0.005, 1.82, -0.1, -1.42, -0.0115, 0.0245, 0.005, 
31.988, 1.82, 0, -1.32, 0, 0, 0, 1.82, -0.08, -1.32, -0.0055, 0.018, -0.001, 
32.088, 1.82, 0, -1.6, 0, 0, -0.0075, 1.82, 0.2, -1.6, -0.0025, 0.018, -0.0075, 
32.188, 1.66, 0, -1.26, 0, 0, 0, 1.66, 0.02, -1.26, -0.001, 0.031, -0.0045, 
32.288, 1.84, 0, -1.64, 0, 0, 0, 1.84, -0.3, -1.64, -0.0145, 0.015, 0.0035, 
32.388, 1.84, 0, -1.4, 0, 0, 0, 1.84, 0.14, -1.4, 0.006, 0.019, -0.0045, 
32.488, 1.92, 0, 0, 0, 0, 0, 1.92, -0.34, -0.74, -0.0025, 0.023, 0.0035, 
32.588, 1.74, 0, -1.4, 0, 0, 0, 1.74, -0.02, -1.4, -0.011, 0.0255, 0.0015, 
32.688, 1.94, 0, -0.94, 0, 0, 0, 1.94, 0.34, -0.94, 0.0065, 0.021, -0.0005, 
32.788, 1.8, 0, -1.88, 0, 0, 0, 1.8, -0.12, -1.88, -0.003, 0.024, 0.0025, 
32.888, 1.68, 0, -1.14, 0, 0, 0, 1.68, 0, -1.14, 0.006, 0.0295, 0.0045, 
32.988, 1.6, 0, -1.84, 0, 0, 0, 1.6, 0.24, -1.84, -0.0005, 0.0215, -0.0005, 
33.088, 1.88, 0, -1.38, 0, 0, 0, 1.88, 0.24, -1.38, 0.013, 0.0205, -0.004, 
33.188, 1.62, 0, -1.6, 0, 0, -0.0055, 1.62, -0.06, -1.6, -0.008, 0.029, -0.0055, 
33.288, 1.92, 0, -1.84, 0, 0, 0, 1.92, 0.18, -1.84, -0.007, 0.0175, -0.002, 
33.388, 1.8, 0, -1.7, 0, 0, 0, 1.8, 0, -1.7, -0.0095, 0.015, -0.0035, 
33.488, 1.94, 0, -1.28, 0, 0, 0, 1.94, 0, -1.28, -0.0045, 0.0175, 0.001, 
33.588, 1.76, 0, -1.3, 0, 0, 0, 1.76, -0.08, -1.3, 0, 0.02, 0.002, 
33.688, 1.76, 0, -1.5, 0, 0, 0, 1.76, -0.28, -1.5, -0.0005, 0.0155, 0.001, 
33.788, 1.72, 0, -1.28, 0, 0, -0.0105, 1.72, 0.04, -1.28, -0.003, 0.0245, -0.0105, 
33.888, 1.8, 0, -1.4, 0, 0, 0, 1.8, 0.08, -1.4, 0.005, 0.019, -0.004, 
33.988, 1.68, 0, -1.3, 0, 0, 0, 1.68, 0.22, -1.3, 0.001, 0.0305, -0.004, 
34.088, 1.78, 0, -1.36, 0, 0, 0.0055, 1.78, -0.22, -1.36, -0.0075, 0.0195, 0.0055, 
34.188, 1.96, 0, -1.08, 0, 0, 0.0095, 1.96, -0.56, -1.08, -0.0115, 0.02, 0.0095, 
34.288, 1.76, 0, -1.24, 0, 0, 0, 1.76, -0.34, -1.24, 0, 0.026, 0.0045, 
34.388, 1.94, 0, -1.54, 0, 0, 0, 1.94, 0.32, -1.54, 0.005, 0.02, -0.0045, 
34.488, 1.86, 0, -1.2, 0, 0, 0, 1.86, 0.12, -1.2, -0.004, 0.0195, 0.0005, 
34.588, 1.7, 0, -1.42, 0, 0, 0, 1.7, -0.26, -1.42, -0.0145, 0.02, -0.0005, 
34.688, 1.72, 0, -1.32, 0, 0, -0.0065, 1.72, 0.1, -1.32, -0.0015, 0.0245, -0.0065, 
34.788, 1.98, 0, -1.6, 0, 0, 0, 1.98, 0.18, -1.6, -0.0035, 0.0165, -0.003, 
34.888, 1.8, 0, -1.24, 0, 0, 0, 1.8, 0.04, -1.24, -0.01, 0.014, -0.0005, 
34.988, 1.78, 0, -1.1, 0, 0, 0, 1.78, -0.1, -1.1, -0.0105, 0.0255, -0.0025, 
35.088, 1.72, 0, -1.22, 0, 0, -0.0065, 1.72, 0, -1.22, -0.0015, 0.026, -0.0065, 
35.188, 1.76, 0, -1.42, 0, 0, 0, 1.76, 0.08, -1.42, -0.0045, 0.0255, -0.0005, 
35.288, 1.9, 0, -1.32, 0, 0, 0, 1.9, 0.3, -1.32, 0.0005, 0.0315, 0, 
35.388, 1.88, 0, -1.2, 0, 0, -0.008, 1.88, 0.12, -1.2, -0.0055, 0.0245, -0.008, 
35.488, 2.06, 0, -1.12, 0, 0, 0, 2.06, 0.08, -1.12, -0.0055, 0.0285, 0.001, 
35.588, 1.86, 0, -1.54, 0, 0, 0, 1.86, 0.02, -1.54, -0.008, 0.018, -0.0015, 
35.688, 2.02, 0, -1.34, 0, 0, 0, 2.02, 0.1, -1.34, -0.004, 0.021, -0.0005, 
35.788, 1.88, 0, -1.64, 0, 0, 0, 1.88, 0, -1.64, -0.0105, 0.02, -0.0025, 
35.888, 1.78, 0, -1.3, 0, 0, 0, 1.78, -0.08, -1.3, 0.0005, 0.02, -0.0035, 
35.988, 1.84, 0, -1.76, 0, 0, 0, 1.84, 0, -1.76, -0.0035, 0.01, -0.003, 
36.088, 1.8, 0, -1.2, 0, 0, 0, 1.8, 0.06, -1.2, -0.008, 0.019, -0.001, 
36.188, 1.7, 0, -1.5, 0, 0, 0, 1.7, -0.22, -1.5, -0.004, 0.021, 0, 
36.288, 1.88, 0, -1.6, 0, 0, 0.0065, 1.88, -0.42, -1.6, -0.013, 0.011, 0.0065, 
36.388, 1.88, 0, -1.1, 0, 0, 0, 1.88, 0.16, -1.1, 0.001, 0.0225, 0, 
36.488, 1.8, 0, -1.44, 0, 0, 0, 1.8, -0.26, -1.44, -0.0035, 0.0215, 0.0025, 
36.588, 2.02, 0, -1.5, 0, 0, 0, 2.02, 0.06, -1.5, 0.0085, 0.0165, -0.004, 
36.688, 1.96, 0, -1.38, 0, 0, 0, 1.96, 0.16, -1.38, -0.0095, 0.024, -0.0025, 
36.788, 1.94, 0, -1.14, 0, 0, -0.008, 1.94, 0.08, -1.14, 0.0005, 0.016, -0.008, 
36.888, 1.82, 0, -1.52, 0, 0, 0, 1.82, 0.18, -1.52, -0.0005, 0.02, -0.0025, 
36.988, 1.86, 0, -1.94, 0, 0, 0, 1.86, -0.04, -1.94, -0.0075, 0.011, 0.0015, 
37.088, 2.16, 0, -1.68, 0, 0, 0, 2.16, -0.04, -1.68, -0.0045, 0.019, 0, 
37.188, 1.88, 0, -1.28, 0, 0, 0, 1.88, 0.06, -1.28, 0.001, 0.0195, 0.0025, 
37.288, 1.6, 0, -1.4, 0, 0, 0, 1.6, 0.14, -1.4, 0.0025, 0.03, 0.004, 
37.388, 1.94, 0, -1.46, 0, 0, 0, 1.94, 0.02, -1.46, -0.005, 0.004, -0.002, 
37.488, 1.86, 0, -1.48, 0, 0, 0, 1.86, -0.1, -1.48, 0.002, 0.0215, 0.002, 
37.588, 1.92, 0, -1.4, 0, 0, 0, 1.92, 0, -1.4, -0.0085, 0.0295, 0.0035, 
37.688, 1.76, 0, -1.42, 0, 0, -0.008, 1.76, -0.06, -1.42, -0.002, 0.0175, -0.008, 
37.788, 1.84, 0, -1.06, 0, 0, 0, 1.84, -0.32, -1.06, -0.0135, 0.0255, 0.0015, 
37.888, 1.9, 0, -1.56, 0, 0, 0, 1.9, 0.2, -1.56, 0, 0.024, 0.002, 
37.988, 1.78, 0, -1.36, 0, 0, -0.006, 1.78, 0.14, -1.36, 0.0025, 0.024, -0.006, 
38.088, 1.86, 0, -1.28, 0, 0, -0.0065, 1.86, 0.26, -1.28, -0.0005, 0.024, -0.0065, 
38.188, 1.92, 0, -1.14, 0, 0, 0, 1.92, -0.08, -1.14, 0.001, 0.023, -0.0005, 
38.288, 1.92, 0, -1.04, 0, 0, -0.005, 1.92, 0.12, -1.04, 0.001, 0.022, -0.005, 
38.388, 2.06, 0, -1.44, 0, 0, -0.005, 2.06, 0.36, -1.44, 0.0045, 0.0205, -0.005, 
38.488, 1.7, 0, -1.34, 0, 0, 0, 1.7, -0.32, -1.34, -0.008, 0.0215, 0.001, 
38.588, 1.92, 0, -1.16, 0, 0, 0, 1.92, -0.1, -1.16, -0.018, 0.027, 0, 
38.688, 1.56, 0, -1.6, 0, 0, 0, 1.56, -0.26, -1.6, -0.0085, 0.0235, 0.0045, 
38.788, 1.82, 0, -1.3, 0, 0, 0, 1.82, -0.3, -1.3, -0.002, 0.0205, 0, 
38.888, 1.8, 0, -1.4, 0, 0, 0, 1.8, -0.18, -1.4, -0.014, 0.0185, -0.004, 
38.988, 1.92, 0, -1.36, 0, 0, 0, 1.92, 0, -1.36, -0.002, 0.023, -0.0025, 
39.088, 1.86, 0, -1.76, 0, 0, 0, 1.86, -0.12, -1.76, -0.0035, 0.018, 0.0025, 
39.188, 1.98, 0, -1.54, 0, 0, 0.0075, 1.98, -0.2, -1.54, -0.009, 0.02, 0.0075, 
39.288, 1.64, 0, -1.12, 0, 0, -0.006, 1.64, 0.18, -1.12, 0.0015, 0.0265, -0.006, 
39.388, 1.84, 0, -1.44, 0, 0, 0, 1.84, 0, -1.44, -0.0005, 0.023, 0, 
39.488, 1.96, 0, -1.04, 0, 0, 0, 1.96, -0.14, -1.04, 0, 0.029, -0.0015, 
39.588, 2.02, 0, -1.2, 0, 0, -0.005, 2.02, 0.06, -1.2, 0.0035, 0.0225, -0.005, 
39.688, 1.86, 0, -1.18, 0, 0, 0, 1.86, 0.02, -1.18, 0.0095, 0.0235, 0.004, 
39.788, 1.78, 0, -1.3, 0, 0, -0.006, 1.78, 0.16, -1.3, -0.0005, 0.023, -0.006, 
39.888, 1.72, 0, -1.32, 0, 0, 0, 1.72, 0.18, -1.32, -0.007, 0.0265, -0.003, 
39.988, 1.54, 0, -1.46, 0, 0, 0, 1.54, 0.36, -1.46, 0.007, 0.02, -0.0045, 
40.088, 1.88, 0, -1.48, 0, 0, -0.009, 1.88, 0.16, -1.48, -0.007, 0.016, -0.009, 
40.188, 2.02, 0, -1.62, 0, 0, -0.0075, 2.02, 0.16, -1.62, 0.008, 0.02, -0.0075, 
40.288, 2.02, 0, -1.12, 0, 0, 0.0055, 2.02, -0.28, -1.12, 0.0025, 0.018, 0.0055, 
40.388, 1.92, 0, -1.4, 0, 0, 0, 1.92, -0.16, -1.4, 0.001, 0.013, -0.001, 
40.488, 1.94, 0, -1.02, 0, 0, 0, 1.94, -0.12, -1.02, 0.0025, 0.0335, -0.0015, 
40.588, 1.7, 0, -1.44, 0, 0, 0, 1.7, 0.18, -1.44, -0.0035, 0.0265, -0.004, 
40.688, 2, 0, -1.46, 0, 0, 0, 2, -0.3, -1.46, -0.0095, 0.023, 0.002, 
40.788, 1.96, 0, -1.36, 0, 0, 0, 1.96, -0.06, -1.36, -0.002, 0.0265, -0.003, 
40.888, 1.94, 0, -1.42, 0, 0, 0.005, 1.94, -0.18, -1.42, -0.0035, 0.0165, 0.005, 
40.988, 1.96, 0, -1.46, 0, 0, -0.0075, 1.96, 0.12, -1.46, 0.011, 0.0225, -0.0075, 
41.088, 1.8, 0, -1.18, 0, 0, 0, 1.8, -0.24, -1.18, -0.006, 0.0205, -0.0025, 
41.188, 1.58, 0, -1.48, 0, 0, 0, 1.58, 0.02, -1.48, 0.005, 0.024, 0, 
41.288, 1.94, 0, -1.58, 0, 0, 0, 1.94, -0.22, -1.58, 0.005, 0.0205, 0.0025, 
41.388, 1.64, 0, -1.7, 0, 0, 0, 1.64, 0.02, -1.7, -0.005, 0.0225, -0.0025, 
41.488, 2.02, 0, -1.1, 0, 0, 0, 2.02, 0, -1.1, -0.0055, 0.0245, 0.001, 
41.588, 1.78, 0, -1.22, 0, 0, -0.006, 1.78, 0.18, -1.22, 0.0025, 0.0265, -0.006, 
41.688, 1.72, 0, -1.42, 0, 0, 0, 1.72, -0.2, -1.42, -0.007, 0.0215, -0.001, 
41.788, 1.72, 0, -1.2, 0, 0, 0, 1.72, -0.18, -1.2, -0.0085, 0.025, 0.001, 
41.888, 2.02, 0, -0.98, 0, 0, 0.0055, 2.02, -0.34, -0.98, -0.002, 0.0185, 0.0055, 
41.988, 1.88, 0, -1.12, 0, 0, 0, 1.88, -0.16, -1.12, -0.012, 0.0245, 0.0025, 
42.088, 1.88, 0, -1.54, 0, 0, 0, 1.88, -0.14, -1.54, -0.0125, 0.022, 0.0035, 
42.188, 1.96, 0, -1.18, 0, 0, 0, 1.96, -0.18, -1.18, -0.0025, 0.0245, 0.004, 
42.288, 1.62, 0, -1.22, 0, 0, 0, 1.62, -0.2, -1.22, -0.001, 0.0365, 0.002, 
42.388, 2, 0, -1.4, 0, 0, 0, 2, -0.1, -1.4, 0, 0.021, -0.0025, 
42.488, 1.72, 0, -1.52, 0, 0, 0, 1.72, 0.14, -1.52, -0.0025, 0.0155, -0.0035, 
42.588, 1.82, 0, -1.5, 0, 0, 0, 1.82, -0.02, -1.5, 0.003, 0.0215, -0.0015, 
42.688, 1.9, 0, -1.1, 0, 0, 0, 1.9, -0.32, -1.1, -0.005, 0.0215, 0, 
42.788, 1.9, 0, -1.04, 0, 0, 0, 1.9, -0.24, -1.04, -0.006, 0.027, 0.003, 
42.888, 1.86, 0, -1.48, 0, 0, 0, 1.86, -0.1, -1.48, -0.0055, 0.0145, -0.002, 
42.988, 1.72, 0, -1.54, 0, 0, 0, 1.72, 0, -1.54, -0.0085, 0.019, 0.003, 
43.088, 1.88, 0, -1.12, 0, 0, 0, 1.88, 0.3, -1.12, 0.01, 0.0345, -0.0025, 
43.188, 1.64, 0, -1.42, 0, 0, 0, 1.64, -0.18, -1.42, -0.0075, 0.0225, -0.002, 
43.288, 2, 0, -1.12, 0, 0, 0, 2, 0.04, -1.12, -0.0005, 0.0155, 0.0025, 
43.388, 1.9, 0, -1.48, 0, 0, 0, 1.9, 0.04, -1.48, -0.0005, 0.025, -0.0035, 
43.488, 1.84, 0, -1.54, 0, 0, 0, 1.84, -0.18, -1.54, 0.002, 0.021, 0.0045, 
43.588, 1.74, 0, -1.5, 0, 0, 0, 1.74, -0.04, -1.5, -0.002, 0.026, -0.001, 
43.688, 2.02, 0, -1.52, 0, 0, 0, 2.02, 0.18, -1.52, 0.003, 0.0145, -0.004, 
43.788, 1.86, 0, -1.52, 0, 0, -0.0075, 1.86, -0.1, -1.52, -0.01, 0.018, -0.0075, 
43.888, 1.86, 0, -0.98, 0, 0, 0, 1.86, -0.12, -0.98, -0.006, 0.018, 0.001, 
43.988, 1.62, 0, -1.66, 0, 0, 0, 1.62, -0.12, -1.66, -0.0055, 0.0285, -0.0035, 
44.088, 1.68, 0, -1.52, 0, 0, 0, 1.68, -0.26, -1.52, -0.0095, 0.0245, 0.0045, 
44.188, 1.8, 0, -1.02, 0, 0, 0, 1.8, -0.18, -1.02, 0.001, 0.03, 0.004, 
44.288, 1.92, 0, -1.52, 0, 0, 0, 1.92, 0.1, -1.52, -0.005, 0.0185, -0.0005, 
44.388, 1.76, 0, -1.48, 0, 0, 0, 1.76, 0.14, -1.48, 0.0045, 0.0225, -0.0015, 
44.488, 1.94, 0, -1.52, 0, 0, 0, 1.94, -0.38, -1.52, -0.0085, 0.013, 0.0045, 
44.588, 1.82, 0, -1.54, 0, 0, 0, 1.82, -0.42, -1.54, -0.008, 0.014, -0.003, 
44.688, 1.68, 0, -1.72, 0, 0, 0, 1.68, -0.08, -1.72, -0.008, 0.0165, -0.0005, 
44.788, 2.06, 0, -1.5, 0, 0, 0.0055, 2.06, -0.16, -1.5, 0.0025, 0.02, 0.0055, 
44.888, 1.72, 0, -1.4, 0, 0, 0, 1.72, 0.06, -1.4, -0.005, 0.021, -0.002, 
44.988, 1.9, 0, -1.76, 0, 0, 0, 1.9, -0.28, -1.76, 0, 0.015, 0.0015, 
45.088, 1.86, 0, -1.22, 0, 0, 0.0105, 1.86, -0.24, -1.22, -0.01, 0.026, 0.0105, 
45.188, 1.9, 0, -1.36, 0, 0, 0, 1.9, -0.34, -1.36, -0.013, 0.0225, 0.0035, 
45.288, 1.8, 0, -1.72, 0, 0, 0, 1.8, 0, -1.72, -0.0135, 0.013, 0.004, 
45.388, 1.96, 0, -1.44, 0, 0, 0, 1.96, 0.08, -1.44, -0.0125, 0.019, 0.0005, 
45.488, 1.82, 0, -1.3, 0, 0, 0.0065, 1.82, -0.38, -1.3, -0.0135, 0.023, 0.0065, 
45.588, 1.7, 0, -1.24, 0, 0, 0, 1.7, 0.06, -1.24, -0.0045, 0.024, -0.0025, 
45.688, 1.82, 0, -1.16, 0, 0, 0, 1.82, -0.24, -1.16, -0.0085, 0.024, 0.0035, 
45.788, 1.84, 0, -1.6, 0, 0, 0, 1.84, -0.18, -1.6, -0.002, 0.011, 0.001, 
45.888, 1.86, 0, -0.86, 0, 0, -0.0065, 1.86, -0.18, -0.86, -0.006, 0.0225, -0.0065, 
