Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6
1.986, 0.00152923, -0.0212618, -1.70871, -0.0716377, -1.20499, 0.0724208, -0.00237704, 0.0491254, 0.312184, 0.161372, -0.833438, -0.151879, 0.000551178, -0.019901, -1.70634, -0.0696388, -1.2091, 0.0655075, -0.00125498, 0.0457682, 0.311555, 0.159826, -0.832667, -0.150652, 
2.086, 0.00139215, -0.0167248, -1.67895, -0.0563529, -1.28416, 0.0578812, -0, 0.0451637, 0.28049, 0.142387, -0.75465, -0.136691, 0.00043171, -0.0155548, -1.67675, -0.0544538, -1.28818, 0.0512003, -0.00113129, 0.0410521, 0.279496, 0.143504, -0.746895, -0.135145, 
2.186, 0.0012733, -0.0127496, -1.65249, -0.0427474, -1.35438, 0.0449753, -0, 0.0380326, 0.240873, 0.122453, -0.645487, -0.118656, 0.000325475, -0.011709, -1.65056, -0.0410037, -1.35815, 0.0385391, -0.000990921, 0.0357858, 0.243674, 0.125215, -0.651086, -0.117822, 
2.286, 0.00115524, -0.00931006, -1.62979, -0.0311001, -1.4146, 0.0337618, -0, 0.0301091, 0.212349, 0.0958738, -0.546765, -0.103468, 0.000233937, -0.00841035, -1.6281, -0.0294566, -1.41816, 0.0276778, -0.000838182, 0.0301403, 0.205252, 0.105553, -0.548371, -0.0992463, 
2.386, 0.00104669, -0.00653527, -1.61093, -0.0214425, -1.46436, 0.0244962, -0.00237704, 0.0245627, 0.170354, 0.0873306, -0.431907, -0.0835336, 0.000158063, -0.00568705, -1.60955, -0.0199159, -1.46771, 0.0187099, -0.000678652, 0.0243136, 0.165581, 0.0852109, -0.44236, -0.0800702, 
2.486, 0.000963492, -0.0043682, -1.59606, -0.0137612, -1.50356, 0.0169127, -0, 0.020601, 0.130737, 0.0598025, -0.329388, -0.0692949, 9.82092e-05, -0.00354623, -1.59498, -0.0124106, -1.50666, 0.0116592, -0.000518973, 0.0185304, 0.126195, 0.0649846, -0.33715, -0.0610343, 
2.586, 0.000890596, -0.0026401, -1.58506, -0.00803726, -1.53248, 0.0111536, -0, 0.0150546, 0.0919121, 0.0484115, -0.23921, -0.0484115, 5.40226e-05, -0.00197118, -1.58425, -0.00688551, -1.53532, 0.00647086, -0.000366612, 0.0130423, 0.0888145, 0.0457647, -0.237316, -0.0429681, 
2.686, 0.000828001, -0.00154032, -1.57773, -0.00426401, -1.5521, 0.00713263, -0, 0.00713111, 0.0570489, 0.0284774, -0.155676, -0.0294266, 2.43708e-05, -0.000918671, -1.57708, -0.00319136, -1.55447, 0.00300275, -0.000229688, 0.00812829, 0.0553409, 0.0285372, -0.147922, -0.0267898, 
2.786, 0.000792345, -0.000850187, -1.57335, -0.00196968, -1.56329, 0.00455258, -0, 0.00554642, 0.0324862, 0.0189849, -0.0787874, -0.0189849, 7.27927e-06, -0.000316224, -1.57298, -0.00107579, -1.56544, 0.0010165, -0.000116913, 0.00409427, 0.027859, 0.0143806, -0.0745183, -0.0135063, 
2.886, 0.000762236, -0.000454014, -1.5712, -0.00091887, -1.56838, 0.00310593, -0, 0.00237704, 0.0118852, 0.00664472, -0.0294266, -0.00949246, -1.27137e-07, -5.94128e-05, -1.57124, -0.000173945, -1.57011, 0.000168565, -3.75959e-05, 0.00127334, 0.00863532, 0.00446547, -0.0231468, -0.00421336, 
2.986, 0.000733712, -0.000278906, -1.57061, -0.000551512, -1.56976, 0.00236552, -0, -0, 0, 0.00379698, -0.00379698, -0.00664472, -1.68688e-06, -9.14129e-06, -1.5709, 6.47054e-07, -1.57102, 1.40443e-06, -1.70157e-06, 2.57362e-05, 0.000118765, 5.34189e-05, -0.000341578, -9.57207e-05, 
3.086, 0.000703603, -0.000247212, -1.5704, -0.000363561, -1.57011, 0.00187381, -0, -0, 0, -0, -0, -0.00474623, -4.57323e-07, -0.000110553, -1.57081, -9.48199e-07, -1.57099, 2.24883e-06, 2.01607e-05, -0.000154079, 0.000646039, -1.63805e-05, -0.000247992, 1.43775e-05, 
3.186, 0.000676663, -0.000235327, -1.57035, -0.000246804, -1.57034, 0.00142007, -0, -0, 0, 0.00284774, -0, -0.00474623, -2.34032e-06, -0.000118901, -1.57085, 3.07362e-06, -1.5709, 6.04704e-07, -0.000118239, 0.000577688, -0.0019026, 0.000206559, 0.00260215, -0.000114342, 
3.285, 0.000644969, -0.000220272, -1.57035, -0.000178458, -1.57037, 0.00102044, -0, -0, 0, -0, -0, -0.00284774, -3.50743e-06, -6.57685e-05, -1.57102, 9.65694e-06, -1.57055, -4.26927e-07, -8.02317e-05, 0.00100473, -0.00382748, 0.000127623, 0.00604171, -7.52438e-05, 
3.386, 0.000625953, -0.00017907, -1.57037, -0.000146184, -1.57031, 0.000692949, -0, -0, 0, -0, 0.00569547, -0.00379698, -2.44636e-06, 3.9188e-05, -1.57137, 1.84504e-05, -1.56981, 2.75257e-07, 3.38421e-05, 0.00160693, -0.00454124, 7.1847e-05, 0.00919531, 8.9843e-05, 
3.486, 0.000609314, -6.49723e-05, -1.57041, -0.000131945, -1.57004, 0.000462283, -0, 0.00316938, 0, -0, 0.00474623, -0.00284774, 3.14977e-06, 0.000228429, -1.57194, 2.81603e-05, -1.56863, 5.56022e-06, 7.21344e-05, 0.00221398, -0.00698587, 0.000114202, 0.0145689, 6.45682e-05, 
3.586, 0.000596636, 0.000156092, -1.57066, -0.000117706, -1.56926, 0.000271484, -0, 0.00316938, -0.00475407, -0, 0.00854321, -0.00284774, 1.22354e-05, 0.000487497, -1.57279, 4.15019e-05, -1.56685, 1.51278e-05, 0.000107305, 0.00336534, -0.0101635, 0.000146873, 0.0207492, 0.000125478, 
3.686, 0.000584751, 0.000506309, -1.57137, -0.000104417, -1.56777, 0.000112011, -0, 0.00396173, -0.00950815, -0, 0.0180357, -0, 2.7784e-05, 0.000860066, -1.57399, 5.61325e-05, -1.56439, 2.9507e-05, 0.000184138, 0.00424723, -0.0134269, 0.000155993, 0.028001, 0.000158834, 
3.786, 0.000576035, 0.000980924, -1.57267, -9.58738e-05, -1.5653, -9.30261e-05, -0, 0.00554642, -0.0190163, -0, 0.0275281, -0, 4.97204e-05, 0.00133614, -1.57554, 7.32925e-05, -1.56116, 5.12419e-05, 0.000229076, 0.0055104, -0.0177186, 0.000205695, 0.0363974, 0.0002327, 
3.886, 0.000568904, 0.00152447, -1.57469, -8.25844e-05, -1.56178, -0.000216428, -0, 0.00554642, -0.0213933, 0.00284774, 0.0436653, -0, 7.95219e-05, 0.00194569, -1.57754, 9.22246e-05, -1.55705, 7.98705e-05, 0.000345462, 0.00669647, -0.0217073, 0.000182318, 0.045194, 0.000342945, 
3.986, 0.000563358, 0.00219717, -1.57715, -7.40412e-05, -1.55694, -0.000278129, -0, 0.00713111, -0.0261474, -0, 0.0569547, -0, 0.000117893, 0.00268245, -1.57997, 0.0001131, -1.55201, 0.000117457, 0.000376024, 0.00780029, -0.0274748, 0.000316507, 0.0563413, 0.000360133, 
4.086, 0.000561773, 0.00303072, -1.58017, -5.69547e-05, -1.55096, -0.000311353, -0, 0.00792345, -0.0316938, -0, 0.0654979, -0, 0.000167413, 0.00356488, -1.58288, 0.000133254, -1.54597, 0.00016603, 0.000465688, 0.00944737, -0.0323637, 0.000352918, 0.0665138, 0.000427147, 
4.186, 0.000561773, 0.0041091, -1.58372, -4.2716e-05, -1.54398, -0.00031515, -0, 0.0110928, -0.041202, -0, 0.0740412, -0, 0.00022622, 0.00458914, -1.5863, 0.000155928, -1.53885, 0.000222604, 0.000607923, 0.0111102, -0.0376331, 0.000263257, 0.077275, 0.000612682, 
4.286, 0.000562565, 0.00536973, -1.58775, -2.75281e-05, -1.53589, -0.000319896, -0, 0.0134699, -0.0443713, -0, 0.0844829, -0, 0.000297721, 0.00576242, -1.59026, 0.000177364, -1.5306, 0.000291734, 0.000760574, 0.0126295, -0.0421507, 0.000225573, 0.0880043, 0.000753739, 
4.386, 0.000563358, 0.00664382, -1.59229, -1.13909e-05, -1.52658, -0.000319896, -0, 0.0134699, -0.0467484, -0, 0.104417, -0, 0.000381046, 0.00708685, -1.59478, 0.000199152, -1.52115, 0.000372018, 0.000906573, 0.0138328, -0.0475708, 0.000202794, 0.100204, 0.000892568, 
4.486, 0.000563358, 0.00811124, -1.59731, 7.59396e-06, -1.51582, -0.000320845, -0, 0.0166393, -0.0507101, -0, 0.116757, -0, 0.000476493, 0.00854503, -1.59986, 0.000221158, -1.51047, 0.000464124, 0.00100188, 0.0153858, -0.053698, 0.00022447, 0.112876, 0.000935388, 
4.586, 0.000564942, 0.00973159, -1.60295, 2.46804e-05, -1.50394, -0.000320845, -0, 0.0158469, -0.0625953, -0, 0.124351, -0, 0.000585672, 0.0101539, -1.60554, 0.000241484, -1.49851, 0.000568178, 0.00116357, 0.0167213, -0.0600148, 0.000191628, 0.126472, 0.00109654, 
4.686, 0.000566527, 0.0114058, -1.60931, 4.2716e-05, -1.49062, -0.000318947, -0, 0.0174316, -0.0673494, -0, 0.137641, -0, 0.000709379, 0.011884, -1.6118, 0.000259122, -1.48523, 0.000685865, 0.00129538, 0.01811, -0.0657679, 0.00017543, 0.139458, 0.00125837, 
4.786, 0.000572073, 0.0133352, -1.61626, 5.60055e-05, -1.47596, -0.000319896, -0, 0.0190163, -0.0713111, -0, 0.154727, -0, 0.000847498, 0.0137434, -1.61865, 0.000274056, -1.47061, 0.000817661, 0.00146689, 0.0192435, -0.0714185, 0.000120156, 0.152842, 0.00140083, 
4.886, 0.000579205, 0.0152994, -1.62358, 6.73964e-05, -1.45998, -0.000320845, -0, 0.0213933, -0.0760652, -0, 0.169915, -0, 0.0010005, 0.0156972, -1.62609, 0.000285474, -1.45461, 0.000963722, 0.00166472, 0.0200873, -0.076971, 3.00985e-05, 0.166583, 0.00157842, 
4.986, 0.000594259, 0.0173127, -1.63161, 7.40412e-05, -1.44259, -0.000320845, -0, 0.020601, -0.0855733, -0, 0.182255, -0, 0.00116871, 0.0177472, -1.63413, 0.000292478, -1.43721, 0.00112391, 0.00175863, 0.0207008, -0.0828235, 2.93908e-05, 0.180568, 0.0016753, 
5.085, 0.000618029, 0.0193562, -1.64041, 9.39753e-05, -1.42372, -0.000319896, -0, 0.020601, -0.0903274, -0, 0.198392, -0, 0.00135212, 0.0198749, -1.64276, 0.000294305, -1.4184, 0.00129922, 0.00195877, 0.0215472, -0.0887527, -7.27007e-05, 0.194857, 0.00186491, 
5.186, 0.00065527, 0.0214694, -1.6496, 0.000102519, -1.40356, -0.000318947, -0, 0.020601, -0.089535, -0, 0.208834, -0, 0.00155283, 0.022038, -1.65194, 0.000287526, -1.39817, 0.00149166, 0.00210565, 0.0219247, -0.0940547, -0.000129352, 0.208796, 0.00204589, 
5.286, 0.000720242, 0.0236824, -1.65931, 0.000108214, -1.38183, -0.000318947, -0, 0.0221857, -0.10142, -0, 0.22687, -0, 0.00176843, 0.0242391, -1.66168, 0.000274298, -1.37652, 0.00169879, 0.00226287, 0.0220638, -0.0999088, -0.00020663, 0.223618, 0.00217867, 
5.386, 0.000830378, 0.0258352, -1.66967, 0.000112011, -1.35866, -0.000316099, -0, 0.0237704, -0.103797, -0, 0.230667, -0, 0.0019995, 0.0264319, -1.67197, 0.000252713, -1.35339, 0.00192193, 0.00246333, 0.0214713, -0.105373, -0.0003838, 0.238589, 0.00240695, 
5.486, 0.000965077, 0.0280704, -1.68032, 0.000113909, -1.33418, -0.0003142, 0.00316938, 0.0221857, -0.112513, -0, 0.256296, -0, 0.00224837, 0.0285939, -1.68274, 0.000218083, -1.32886, 0.00216438, 0.00259614, 0.0207965, -0.110583, -0.000458191, 0.253353, 0.002519, 
5.586, 0.00114177, 0.0301892, -1.69177, 0.00011296, -1.30828, -0.000308505, 0.00475407, 0.0198086, -0.119644, -0.00284774, 0.26484, -0, 0.00251257, 0.0307041, -1.69402, 0.000171896, -1.30289, 0.00242535, 0.00273031, 0.0208537, -0.114881, -0.000537846, 0.266408, 0.00273054, 
5.686, 0.00134065, 0.032292, -1.70353, 0.000114859, -1.28086, -0.000305657, 0.00237704, 0.0182239, -0.119644, -0, 0.279078, -0, 0.00279183, 0.0327205, -1.70577, 0.000113055, -1.27548, 0.0027039, 0.00292684, 0.0198095, -0.119274, -0.000742233, 0.280607, 0.0029347, 
5.786, 0.00157281, 0.0342777, -1.71575, 0.00011296, -1.25205, -0.000299962, 0.00237704, 0.0182239, -0.129945, -0, 0.292368, -0, 0.00308842, 0.0345884, -1.71792, 3.58135e-05, -1.24668, 0.00300355, 0.00297499, 0.0182681, -0.123609, -0.00077977, 0.294672, 0.00303565, 
5.886, 0.00183666, 0.0360367, -1.72826, 0.00011296, -1.22182, -0.000288571, 0.00396173, 0.0166393, -0.121229, -0, 0.299962, -0, 0.00339887, 0.0363096, -1.73047, -5.72698e-05, -1.21647, 0.00332333, 0.00325193, 0.0157315, -0.126529, -0.00112932, 0.308717, 0.0034349, 
5.986, 0.00217737, 0.0375714, -1.74124, 0.000110112, -1.19031, -0.000273383, 0.00396173, 0.0150546, -0.12836, -0, 0.307556, -0, 0.00372441, 0.037812, -1.74338, -0.000171145, -1.18488, 0.0036661, 0.00336538, 0.0135393, -0.130065, -0.00130848, 0.322443, 0.00359518, 
6.086, 0.00251887, 0.0389715, -1.75453, 0.000109163, -1.15743, -0.000256296, -0, 0.0126775, -0.12836, -0, 0.32749, -0, 0.00406302, 0.0390811, -1.7566, -0.000306115, -1.15194, 0.00403185, 0.003312, 0.0120467, -0.134227, -0.00129042, 0.335517, 0.00355077, 
6.186, 0.0028358, 0.0400729, -1.76806, 0.00010062, -1.12313, -0.000218326, -0, 0.0087158, -0.141037, -0, 0.343627, -0, 0.00441594, 0.0400476, -1.77007, -0.000467726, -1.11768, 0.00442407, 0.00357045, 0.0086538, -0.136189, -0.00171832, 0.348843, 0.00404277, 
6.286, 0.00317651, 0.0407305, -1.78174, 9.96708e-05, -1.08758, -0.0001253, 0.00316938, 0.00713111, -0.133906, -0, 0.359764, -0, 0.00477993, 0.0407076, -1.78379, -0.000655267, -1.08212, 0.0048424, 0.00374753, 0.00420038, -0.138529, -0.00212447, 0.362969, 0.00446469, 
6.386, 0.0035814, 0.0411671, -1.79574, 8.73306e-05, -1.05072, 1.89849e-06, 0.00237704, 0.00316938, -0.147376, -0, 0.381597, 0.00379698, 0.00515406, 0.0409909, -1.79768, -0.000872587, -1.0453, 0.00528836, 0.00382108, 0.00143385, -0.140728, -0.00237471, 0.374999, 0.00463789, 
6.486, 0.00401561, 0.0412654, -1.80976, 7.02442e-05, -1.01278, 0.000205986, 0.00396173, -0, -0.141037, -0, 0.391089, -0, 0.00554034, 0.0408812, -1.81169, -0.00112835, -1.00728, 0.00577171, 0.00380228, -0.00276824, -0.140937, -0.00258101, 0.385744, 0.00485828, 
6.585, 0.00444427, 0.0412178, -1.82399, 5.031e-05, -0.973558, 0.000517339, 0.00554642, -0, -0.147376, -0, 0.401531, 0.00379698, 0.00593302, 0.0403216, -1.82578, -0.0014194, -0.968088, 0.00628572, 0.00389776, -0.00753962, -0.141473, -0.00301114, 0.397451, 0.00519008, 
6.686, 0.00488956, 0.0408193, -1.83801, -2.65789e-05, -0.93329, 0.000836285, 0.00396173, -0.00713111, -0.143415, -0, 0.418617, 0.00284774, 0.00633313, 0.0392658, -1.83987, -0.00175511, -0.927777, 0.00684099, 0.00410829, -0.0133907, -0.140328, -0.00371682, 0.408468, 0.0058637, 
6.786, 0.0053515, 0.0395895, -1.85226, -0.000135742, -0.891849, 0.00120839, 0.00475407, -0.0142622, -0.13866, -0, 0.411973, 0.00379698, 0.00673444, 0.0376976, -1.85395, -0.00213215, -0.886387, 0.00743146, 0.0039383, -0.0190984, -0.14169, -0.00383223, 0.42077, 0.00592288, 
6.886, 0.00576748, 0.0376546, -1.8662, -0.000304708, -0.849431, 0.00165738, 0.00633876, -0.0245627, -0.136283, -0.00474623, 0.430957, 0.00474623, 0.0071399, 0.0355808, -1.86794, -0.00256616, -0.844003, 0.00807245, 0.00415375, -0.0246623, -0.139624, -0.00468692, 0.430211, 0.00676382, 
6.985, 0.00618267, 0.0349805, -1.88011, -0.000537273, -0.806113, 0.00217757, 0.00396173, -0.0285244, -0.13866, -0, 0.448044, 0.00474623, 0.0075445, 0.0328603, -1.88176, -0.00305873, -0.800672, 0.00876459, 0.00395767, -0.029376, -0.138278, -0.00506771, 0.43773, 0.00698385, 
7.086, 0.00662876, 0.0316986, -1.89375, -0.000886595, -0.761861, 0.00278509, 0.00475407, -0.0372402, -0.144207, -0.00474623, 0.451841, 0.00759396, 0.00794477, 0.0295444, -1.89541, -0.00361457, -0.756462, 0.00951053, 0.00392799, -0.0357705, -0.135831, -0.00579723, 0.446111, 0.00760304, 
7.186, 0.0070701, 0.0276711, -1.90732, -0.00142007, -0.716847, 0.00355967, 0.00633876, -0.0427867, -0.133114, -0.00664472, 0.455638, 0.00474623, 0.00833773, 0.0255965, -1.90882, -0.00424204, -0.711445, 0.010316, 0.00404317, -0.043321, -0.13242, -0.00711197, 0.454554, 0.00884058, 
7.286, 0.00753441, 0.0230921, -1.92041, -0.00206081, -0.671147, 0.00443962, 0.00554642, -0.0483331, -0.12836, -0.00284774, 0.460384, 0.0104417, 0.00871981, 0.0209966, -1.92192, -0.0049502, -0.66571, 0.011191, 0.00390508, -0.049493, -0.128867, -0.00791883, 0.460824, 0.00952398, 
