Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6
19.086, 0.0163786, -0.572623, -0.921564, -0.00665801, -1.32578, 0.0206679, -0, -0.0673494, 0.126775, -0, -0.159473, -0, 0.015441, -0.572463, -0.921144, -0.00556558, -1.32968, 0.0159975, -0.000709696, -0.0624259, 0.1281, 0.00214033, -0.158449, -0.00159554, 
19.186, 0.0162772, -0.578781, -0.9089, -0.00651942, -1.34122, 0.0202588, -0, -0.0625953, 0.120437, 0.00284774, -0.15093, -0.00474623, 0.015373, -0.578616, -0.908582, -0.00536098, -1.34512, 0.0158464, -0.000616315, -0.0601832, 0.123179, 0.00188897, -0.150604, -0.00141611, 
19.286, 0.0161924, -0.584635, -0.896799, -0.00635045, -1.35614, 0.0198326, -0, -0.0562565, 0.118852, 0.00569547, -0.154727, -0.00379698, 0.0153101, -0.584578, -0.896468, -0.00517354, -1.35985, 0.0157091, -0.000612956, -0.058464, 0.118935, 0.0018136, -0.144174, -0.00132587, 
19.386, 0.0161076, -0.590318, -0.885117, -0.00619383, -1.37025, 0.0194026, -0, -0.0578412, 0.111721, -0, -0.137641, -0.00854321, 0.0152491, -0.590278, -0.884899, -0.00499414, -1.37389, 0.015581, -0.00067814, -0.0548762, 0.11105, 0.00193937, -0.135973, -0.00131133, 
19.486, 0.0160181, -0.596005, -0.873951, -0.00605049, -1.38375, 0.0190172, -0, -0.0554642, 0.111721, -0, -0.13859, -0.00569547, 0.0151922, -0.595788, -0.873735, -0.00482858, -1.3873, 0.0154632, -0.000659932, -0.0532035, 0.107552, 0.00185031, -0.130825, -0.00125467, 
19.586, 0.015938, -0.601378, -0.863177, -0.00587203, -1.39673, 0.0186251, -0, -0.0522948, 0.10142, 0.00284774, -0.120554, -0.00379698, 0.0151375, -0.601068, -0.863066, -0.00467094, -1.40008, 0.015355, -0.000532396, -0.0520199, 0.10449, 0.00151525, -0.124617, -0.00107319, 
19.685, 0.0158612, -0.606447, -0.852943, -0.00570876, -1.40883, 0.0182625, -0.00237704, -0.0499178, 0.0966661, -0, -0.121503, -0, 0.0150859, -0.606143, -0.852832, -0.00452319, -1.41227, 0.0152542, -0.000541324, -0.0500015, 0.0998202, 0.00148147, -0.1191, -0.00100396, 
19.786, 0.0158017, -0.611259, -0.843106, -0.00554834, -1.42074, 0.0179445, -0, -0.0451637, 0.0966661, -0, -0.115808, -0.00474623, 0.0150366, -0.611039, -0.842988, -0.00438409, -1.42391, 0.0151607, -0.000479538, -0.0468198, 0.0951301, 0.00137902, -0.113369, -0.000903923, 
19.886, 0.015736, -0.615913, -0.833508, -0.00544108, -1.43189, 0.0176455, -0, -0.0491254, 0.0927044, -0, -0.109163, -0.00284774, 0.0149916, -0.615744, -0.833518, -0.00425682, -1.43502, 0.0150758, -0.00048493, -0.0468812, 0.0924458, 0.00135406, -0.10758, -0.000866516, 
19.986, 0.0156758, -0.620597, -0.824426, -0.00526072, -1.44245, 0.0173674, -0, -0.0475407, 0.0855733, -0, -0.105366, -0, 0.0149472, -0.620247, -0.824473, -0.00413266, -1.44562, 0.0149922, -0.000568374, -0.0438948, 0.0864486, 0.00153317, -0.102135, -0.000991545, 
20.086, 0.0156155, -0.625001, -0.815855, -0.00506897, -1.45283, 0.0170902, -0, -0.0427867, 0.0855733, -0, -0.107265, -0.00284774, 0.0149047, -0.62453, -0.815873, -0.00401448, -1.45569, 0.0149193, -0.000361752, -0.0419406, 0.085043, 0.00102652, -0.0991002, -0.000654961, 
20.186, 0.0155537, -0.629178, -0.807313, -0.00494177, -1.46252, 0.0168235, -0, -0.0396173, 0.0808192, 0.00284774, -0.0892291, -0.00284774, 0.0148662, -0.628769, -0.807425, -0.00390973, -1.46535, 0.0148542, -0.000523111, -0.0399388, 0.0795103, 0.00133543, -0.0906406, -0.000849329, 
20.286, 0.0154872, -0.632504, -0.800808, -0.00476996, -1.46962, 0.0165273, -0, -0.0245627, 0.0483331, 0.00284774, -0.0493608, -0.00379698, 0.0147863, -0.6319, -0.801104, -0.00371576, -1.4725, 0.0147406, -0.000894781, -0.0223022, 0.0457623, 0.00211503, -0.0512174, -0.00114222, 
20.386, 0.0154, -0.63412, -0.797847, -0.00458391, -1.47282, 0.0162473, -0.00237704, -0.00713111, 0.0103005, -0, -0.00854321, -0, 0.0146997, -0.633205, -0.798381, -0.00351558, -1.47543, 0.0146322, -0.000862147, -0.00302191, 0.00728208, 0.00194888, -0.00611412, -0.00103053, 
20.486, 0.0153065, -0.634138, -0.79821, -0.00438457, -1.47196, 0.0160299, -0, 0.00554642, -0.022978, 0.00379698, 0.0332236, -0, 0.0146094, -0.632305, -0.800036, -0.00331707, -1.47326, 0.0145269, -0.000956978, 0.0224768, -0.0430557, 0.00205221, 0.0522635, -0.00103345, 
20.586, 0.0151972, -0.63174, -0.804017, -0.00416624, -1.46494, 0.0158429, -0, 0.0451637, -0.0927044, 0.00379698, 0.108214, -0, 0.0145155, -0.628539, -0.807328, -0.00312255, -1.46449, 0.0144246, -0.000942085, 0.0534068, -0.104308, 0.00193795, 0.124163, -0.000932842, 
20.686, 0.0150791, -0.625636, -0.816854, -0.00398683, -1.44984, 0.0156806, -0, 0.0808192, -0.167977, -0, 0.191748, -0, 0.0144328, -0.621559, -0.82111, -0.0029613, -1.44816, 0.0143399, -0.000786429, 0.0865037, -0.169667, 0.0012069, 0.201164, -0.000810146, 
20.786, 0.0149737, -0.615694, -0.836789, -0.0038397, -1.4266, 0.0155524, -0.00237704, 0.11489, -0.231365, 0.00284774, 0.26389, -0, 0.0143663, -0.611242, -0.841542, -0.00286191, -1.4238, 0.0142816, -0.000504666, 0.120086, -0.238196, 0.000614569, 0.284404, -0.000363458, 
20.886, 0.0148779, -0.602209, -0.86353, -0.00376945, -1.39491, 0.0154414, -0, 0.146584, -0.299507, -0, 0.359764, -0.00284774, 0.0143313, -0.597663, -0.868648, -0.00284331, -1.39122, 0.0142597, 0.000162675, 0.151584, -0.303423, 0.000130213, 0.366209, 0.000179711, 
20.986, 0.0148224, -0.585943, -0.896714, -0.00372579, -1.35496, 0.015374, -0, 0.181447, -0.356555, -0, 0.430008, -0, 0.0143352, -0.581069, -0.90204, -0.00291724, -1.35053, 0.0142893, 0.00018862, 0.179029, -0.360934, -0.00153625, 0.444221, 0.000631983, 
21.086, 0.0147907, -0.567023, -0.93515, -0.00372864, -1.30784, 0.0153474, -0, 0.202048, -0.407266, -0, 0.504049, -0.00379698, 0.0143724, -0.562155, -0.940538, -0.00312156, -1.30273, 0.0143828, 0.000473112, 0.198621, -0.406444, -0.00243646, 0.507987, 0.00125122, 
21.186, 0.014778, -0.546527, -0.977238, -0.00374003, -1.25481, 0.0153484, -0, 0.20601, -0.436582, -0, 0.56575, -0, 0.0144576, -0.541737, -0.98266, -0.00345886, -1.24928, 0.0145684, 0.00105143, 0.209623, -0.434627, -0.00402958, 0.558001, 0.00230689, 
21.286, 0.0147733, -0.524953, -1.02212, -0.00376281, -1.19694, 0.0153484, -0, 0.217103, -0.457183, -0, 0.587583, -0, 0.0145739, -0.520332, -1.02748, -0.0039008, -1.19104, 0.0148369, 0.00110099, 0.216652, -0.459257, -0.00482907, 0.604953, 0.00291168, 
21.386, 0.0147749, -0.502834, -1.06907, -0.00380742, -1.13482, 0.0153512, -0, 0.221857, -0.475407, -0, 0.628401, -0, 0.0147058, -0.498375, -1.07432, -0.00444115, -1.1286, 0.0151838, 0.00141591, 0.220652, -0.476229, -0.00598823, 0.643083, 0.00392332, 
21.485, 0.0147765, -0.48079, -1.11728, -0.00398209, -1.06908, 0.0153559, -0, 0.226611, -0.492047, -0, 0.673964, -0, 0.0148597, -0.476367, -1.12244, -0.00509796, -1.06271, 0.0156383, 0.00157544, 0.21873, -0.483774, -0.00727456, 0.672365, 0.00508661, 
21.586, 0.014786, -0.459099, -1.16582, -0.00430198, -1.0012, 0.0153626, -0, 0.209972, -0.482538, -0.00569547, 0.677761, -0, 0.015032, -0.454872, -1.17078, -0.00590052, -0.994643, 0.0162277, 0.00190725, 0.209503, -0.478875, -0.0090099, 0.684337, 0.00675065, 
21.686, 0.0147978, -0.438565, -1.21319, -0.00482027, -0.933097, 0.0153949, -0, 0.190955, -0.465899, -0.00569547, 0.677761, -0, 0.0152323, -0.43461, -1.21794, -0.00688591, -0.926364, 0.0169958, 0.00221335, 0.193588, -0.459011, -0.0110732, 0.674677, 0.00889034, 
21.786, 0.0148161, -0.419783, -1.25795, -0.00555688, -0.867115, 0.0156084, -0, 0.176693, -0.430244, -0.00854321, 0.656878, -0, 0.0154618, -0.416249, -1.26239, -0.00808539, -0.860309, 0.0179832, 0.00232319, 0.173307, -0.428087, -0.0127876, 0.644952, 0.010687, 
21.886, 0.0148486, -0.403065, -1.29942, -0.00662194, -0.804184, 0.0159853, -0, 0.162431, -0.397757, -0.0113909, 0.619857, 0.00474623, 0.0156852, -0.399936, -1.30359, -0.00941603, -0.797376, 0.0191222, 0.00213283, 0.153869, -0.397255, -0.013789, 0.614417, 0.011918, 
21.986, 0.0148921, -0.38841, -1.33792, -0.00776103, -0.744249, 0.0164447, -0, 0.135491, -0.373195, -0.0113909, 0.593278, 0.00569547, 0.0158869, -0.385464, -1.34186, -0.0108462, -0.737404, 0.0203795, 0.00189613, 0.136309, -0.369126, -0.0148022, 0.585606, 0.0131978, 
22.085, 0.0149373, -0.375259, -1.37375, -0.00916591, -0.687011, 0.0171187, -0, 0.129152, -0.345463, -0.0189849, 0.561953, 0.00664472, 0.0160645, -0.372656, -1.37745, -0.0123847, -0.680219, 0.021762, 0.00164514, 0.119704, -0.343469, -0.0159216, 0.559346, 0.0143996, 
22.186, 0.0150039, -0.363706, -1.40719, -0.0107293, -0.632419, 0.0180452, -0, 0.108551, -0.321692, -0.0170864, 0.531578, 0.0104417, 0.016217, -0.361347, -1.41062, -0.0140458, -0.625657, 0.0232785, 0.00139465, 0.106567, -0.320608, -0.0172428, 0.533062, 0.0158138, 
22.286, 0.0150775, -0.353456, -1.43833, -0.0124551, -0.580253, 0.0191624, -0, 0.0958738, -0.306638, -0.0170864, 0.507846, 0.0132894, 0.0163426, -0.351386, -1.44157, -0.0158429, -0.57356, 0.0249398, 0.00111341, 0.0934421, -0.299335, -0.0186825, 0.509254, 0.0173835, 
22.386, 0.0151623, -0.344415, -1.46743, -0.0143526, -0.5304, 0.0205037, -0, 0.0816116, -0.282075, -0.0151879, 0.488861, 0.0151879, 0.016439, -0.342647, -1.47051, -0.0177914, -0.523782, 0.0267582, 0.000809043, 0.0817424, -0.279935, -0.0202647, 0.486685, 0.0190633, 
22.486, 0.0152273, -0.336724, -1.49469, -0.0164153, -0.482694, 0.0220908, -0, 0.0721034, -0.262266, -0.0237311, 0.459435, 0.0218326, 0.0165024, -0.335011, -1.4976, -0.0199048, -0.476199, 0.028743, 0.000518188, 0.0713231, -0.262323, -0.0220139, 0.465343, 0.0207134, 
22.586, 0.0152986, -0.329889, -1.5202, -0.0187523, -0.4371, 0.0239058, -0, 0.06418, -0.246419, -0.0218326, 0.446145, 0.0237311, 0.0165325, -0.328372, -1.523, -0.0221966, -0.430691, 0.0309067, 9.7972e-05, 0.0619959, -0.246164, -0.0238045, 0.445066, 0.0224618, 
22.685, 0.0153469, -0.32382, -1.54424, -0.0213153, -0.393487, 0.026053, -0, 0.0570489, -0.230573, -0.0265789, 0.425262, 0.0208834, 0.0165204, -0.322627, -1.54683, -0.0246722, -0.387159, 0.0332497, -0.000628506, 0.0534268, -0.23092, -0.0251625, 0.425653, 0.0236824, 
22.786, 0.0153652, -0.318768, -1.56677, -0.0240396, -0.351698, 0.0284565, -0, 0.0443713, -0.221857, -0.0275281, 0.411023, 0.0275281, 0.016464, -0.317682, -1.56924, -0.0273314, -0.345511, 0.0357689, -0.000823506, 0.0456516, -0.217215, -0.0274367, 0.407515, 0.0259596, 
22.886, 0.0153715, -0.314495, -1.58795, -0.0270032, -0.31176, 0.0311438, -0, 0.0404096, -0.209972, -0.0332236, 0.389191, 0.0284774, 0.016354, -0.313471, -1.59029, -0.0301555, -0.305656, 0.0384394, -0.00138353, 0.0387597, -0.204215, -0.0289681, 0.389853, 0.0274029, 
22.986, 0.0153699, -0.310839, -1.60781, -0.0300664, -0.273498, 0.033927, -0, 0.0348632, -0.193332, -0.0303759, 0.380647, 0.0294266, 0.016184, -0.309917, -1.61009, -0.0331062, -0.267537, 0.0412193, -0.00202095, 0.0325117, -0.19186, -0.029907, 0.372763, 0.0280585, 
23.086, 0.015362, -0.307761, -1.62652, -0.0331676, -0.236972, 0.0367757, -0, 0.0309015, -0.181447, -0.0341728, 0.362612, 0.0265789, 0.015947, -0.306954, -1.62867, -0.0361065, -0.23111, 0.0440268, -0.00272067, 0.0269047, -0.179853, -0.0298813, 0.355939, 0.027786, 
23.186, 0.015343, -0.305082, -1.64408, -0.0362431, -0.202084, 0.0396111, -0, 0.0221857, -0.167185, -0.0256296, 0.337931, 0.0256296, 0.015638, -0.304523, -1.64605, -0.0390326, -0.196364, 0.0467339, -0.00345279, 0.0218555, -0.167877, -0.0283519, 0.33912, 0.0260464, 
23.286, 0.0152986, -0.303021, -1.66031, -0.0390776, -0.16891, 0.0421294, -0, 0.0174316, -0.156884, -0.0237311, 0.32749, 0.0237311, 0.0152564, -0.30257, -1.66222, -0.0416974, -0.163317, 0.0491511, -0.0041599, 0.0173346, -0.155512, -0.0245882, 0.321909, 0.021963, 
23.386, 0.0151821, -0.301388, -1.67532, -0.0413909, -0.137488, 0.0442415, -0, 0.0126775, -0.14183, -0.0189849, 0.307556, 0.0170864, 0.014809, -0.301044, -1.67711, -0.0438403, -0.132027, 0.0510174, -0.0047517, 0.0133099, -0.142359, -0.0178238, 0.303924, 0.0149363, 
23.486, 0.015007, -0.300107, -1.68895, -0.0429268, -0.107928, 0.0455476, -0.00237704, 0.0110928, -0.123606, -0.0113909, 0.288571, 0.00759396, 0.0143134, -0.299896, -1.69064, -0.0451311, -0.102587, 0.0520084, -0.00510654, 0.00976983, -0.128123, -0.00744799, 0.28487, 0.00440067, 
23.586, 0.014744, -0.299133, -1.70117, -0.0433036, -0.0802834, 0.0457793, -0.00316938, 0.00713111, -0.114098, -0, 0.275281, -0, 0.0137996, -0.299077, -1.70268, -0.0451917, -0.0751118, 0.0517565, -0.00510058, 0.0067142, -0.112722, 0.00674568, 0.264635, -0.00986656, 
23.686, 0.0144064, -0.298478, -1.71169, -0.042643, -0.0547705, 0.045168, -0.00237704, 0.00633876, -0.0982508, 0.0132894, 0.247753, -0.0142387, 0.0133085, -0.29854, -1.71313, -0.0436417, -0.049718, 0.0498988, -0.00464871, 0.00414483, -0.0962746, 0.0245728, 0.243319, -0.0275928, 
23.786, 0.0140118, -0.298053, -1.7207, -0.0401161, -0.0312662, 0.0429382, -0.00396173, -0, -0.0800269, 0.0379698, 0.218326, -0.0322743, 0.012886, -0.29823, -1.7219, -0.0401624, -0.0264952, 0.0461366, -0.00373697, 0.00195687, -0.0791324, 0.0451079, 0.221346, -0.0477467, 
23.886, 0.0136378, -0.29785, -1.72776, -0.0353224, -0.010099, 0.0385935, -0.00396173, 0.00237704, -0.0625953, 0.0607517, 0.210733, -0.0522085, 0.0125748, -0.298112, -1.72897, -0.0345624, -0.00546959, 0.0402974, -0.00244572, 0.000454137, -0.0623332, 0.0668127, 0.199392, -0.0689275, 
23.985, 0.0133621, -0.297791, -1.73329, -0.02826, 0.00888968, 0.0320323, -0, -0, -0.0483331, 0.0787874, 0.187001, -0.0749904, 0.0124052, -0.298136, -1.73439, -0.0268218, 0.0134012, 0.0323773, -0.000937103, -0.000778252, -0.0464659, 0.0875929, 0.178394, -0.0890571, 
24.086, 0.0132052, -0.29779, -1.7374, -0.0191216, 0.0260207, 0.0236125, -0.00237704, -0, -0.0356555, 0.0977723, 0.157575, -0.0911276, 0.01239, -0.298259, -1.7383, -0.0171048, 0.0302428, 0.0225482, 0.000608957, -0.00163334, -0.0322856, 0.105971, 0.158974, -0.106792, 
24.186, 0.0131648, -0.297794, -1.74024, -0.00807523, 0.04109, 0.0132477, -0, -0, -0.0213933, 0.115808, 0.134793, -0.115808, 0.0125242, -0.298454, -1.7409, -0.00573563, 0.0452501, 0.0111351, 0.00202715, -0.00220744, -0.0203862, 0.120489, 0.141766, -0.120622, 
24.286, 0.0131648, -0.297809, -1.74194, 0.00411498, 0.0547999, 0.00166023, -0, -0, -0.0126775, 0.120554, 0.137641, -0.120554, 0.012789, -0.298695, -1.74245, 0.00685042, 0.0586653, -0.00143573, 0.00321136, -0.00257649, -0.0111088, 0.130259, 0.127148, -0.129805, 
24.386, 0.0131815, -0.297848, -1.74271, 0.0172554, 0.0669636, -0.0106743, -0, -0.00237704, -0.00554642, 0.129097, 0.113909, -0.129097, 0.0131585, -0.298965, -1.7432, 0.0201669, 0.0707536, -0.0146844, 0.00412334, -0.00281105, -0.00447156, 0.135146, 0.115204, -0.134246, 
24.486, 0.0132227, -0.297957, -1.74298, 0.0306882, 0.0782055, -0.0234074, -0, -0, 0, 0.136691, 0.11296, -0.1253, 0.0136058, -0.299254, -1.74343, 0.0337224, 0.0817838, -0.0281313, 0.00477532, -0.00297097, -0.000422126, 0.135183, 0.105928, -0.133926, 
24.586, 0.0133114, -0.298083, -1.74305, 0.0438884, 0.0886728, -0.0359603, -0, -0.00237704, 0, 0.129097, 0.0977723, -0.124351, 0.014107, -0.299558, -1.74336, 0.0470586, 0.0920132, -0.041327, 0.00521242, -0.00310489, 0.0012815, 0.130856, 0.0991412, -0.1294, 
24.686, 0.0134841, -0.29826, -1.74309, 0.0567525, 0.0983134, -0.0481002, 0.00237704, -0, 0, 0.119605, 0.0920768, -0.118656, 0.0146431, -0.299783, -1.74331, 0.0598145, 0.101666, -0.0539035, 0.00552696, -0.00168868, -0.00119866, 0.124207, 0.0950762, -0.122166, 
24.786, 0.0137805, -0.2985, -1.74311, 0.0685631, 0.10763, -0.0593933, 0.00316938, -0.00237704, 0, 0.116757, 0.0958738, -0.108214, 0.015201, -0.300102, -1.74328, 0.0715841, 0.110942, -0.0654916, 0.00564631, -0.00393215, -0.000214341, 0.11163, 0.0916629, -0.109859, 
24.886, 0.0141933, -0.298854, -1.74328, 0.0791975, 0.11698, -0.0695019, 0.00475407, -0.00396173, -0.00396173, 0.102519, 0.0939753, -0.0958738, 0.0157725, -0.30047, -1.74353, 0.0821003, 0.120077, -0.0758154, 0.00576347, -0.0031208, -0.00495786, 0.0984661, 0.0909829, -0.0963529, 
24.986, 0.0146647, -0.299217, -1.74386, 0.088407, 0.126129, -0.0782264, 0.00554642, -0.00316938, -0.00713111, 0.0844829, 0.0939753, -0.0806859, 0.0163502, -0.30083, -1.74422, 0.091175, 0.129197, -0.0846786, 0.00583369, -0.00427056, -0.00904858, 0.0844407, 0.091655, -0.0822024, 
25.086, 0.0152249, -0.299629, -1.74498, 0.0959839, 0.135348, -0.0855166, 0.0087158, -0.00316938, -0.0142622, 0.0664472, 0.0939753, -0.0645487, 0.0169293, -0.30125, -1.74541, 0.0986131, 0.138455, -0.0918967, 0.00576535, -0.00421949, -0.0148733, 0.0659368, 0.0935809, -0.0637689, 
25.186, 0.0158445, -0.300142, -1.74673, 0.101771, 0.145069, -0.0911921, 0.00475407, -0.00475407, -0.0190163, 0.0474623, 0.101569, -0.046513, 0.017502, -0.301729, -1.74717, 0.104314, 0.147945, -0.0973744, 0.00568812, -0.00683213, -0.0191931, 0.0477277, 0.0965596, -0.0456529, 
25.286, 0.0164348, -0.300757, -1.74898, 0.105787, 0.154995, -0.0950859, 0.00713111, -0.00475407, -0.0261474, 0.0322743, 0.096823, -0.0294266, 0.018061, -0.302284, -1.74957, 0.108217, 0.157777, -0.101056, 0.00550154, -0.00501911, -0.0273526, 0.0299202, 0.0994469, -0.0274932, 
25.386, 0.0170632, -0.301311, -1.7519, 0.108122, 0.165057, -0.0972265, 0.00713111, -0.00792345, -0.0309015, 0.0113909, 0.101569, -0.0123402, 0.0185875, -0.302866, -1.75258, 0.110388, 0.167899, -0.103004, 0.0051049, -0.00588573, -0.0333382, 0.0134921, 0.102911, -0.0113123, 
25.486, 0.0175742, -0.301937, -1.75536, 0.108878, 0.175723, -0.0977998, 0.00475407, -0.00713111, -0.0364479, -0, 0.104417, -0, 0.019075, -0.303469, -1.75621, 0.110938, 0.178342, -0.103343, 0.00462324, -0.00649089, -0.0387974, -0.00210398, 0.105845, 0.004135, 
25.586, 0.0180274, -0.302611, -1.75951, 0.108728, 0.186481, -0.0976954, 0.00633876, -0.00633876, -0.043579, -0.00569547, 0.111062, 0.00569547, 0.0195075, -0.304136, -1.76035, 0.110025, 0.18905, -0.102239, 0.00401034, -0.00692711, -0.0435672, -0.0156488, 0.108113, 0.017459, 
25.686, 0.0184403, -0.303342, -1.76443, 0.107842, 0.19813, -0.096992, 0.00237704, -0.00713111, -0.0554642, -0.0104417, 0.132894, 0.00949246, 0.0199217, -0.304817, -1.76524, 0.10808, 0.200787, -0.100099, 0.00529536, -0.00798095, -0.0571133, -0.0207633, 0.13676, 0.0233116, 
25.786, 0.0189386, -0.304374, -1.77157, 0.106579, 0.216332, -0.0960171, 0.00554642, -0.0150546, -0.0903274, -0.0132894, 0.240159, 0.0132894, 0.0206186, -0.305968, -1.77248, 0.106063, 0.219093, -0.0977179, 0.00989431, -0.016103, -0.0920998, -0.0192672, 0.24198, 0.0244023, 
25.886, 0.0198831, -0.306642, -1.78308, 0.10463, 0.24811, -0.0940731, 0.0118852, -0.0301091, -0.144207, -0.0322743, 0.383495, 0.0294266, 0.0217706, -0.308476, -1.78437, 0.103445, 0.251297, -0.0944539, 0.0135411, -0.0338726, -0.145226, -0.0386447, 0.396132, 0.0462162, 
25.985, 0.0212531, -0.310775, -1.80029, 0.0992208, 0.29498, -0.0888313, 0.0150546, -0.0522948, -0.198879, -0.0740412, 0.554359, 0.0749904, 0.0231032, -0.312799, -1.80185, 0.0974752, 0.298559, -0.087715, 0.0125135, -0.0543234, -0.202682, -0.0825797, 0.547214, 0.0901387, 
26.086, 0.0224273, -0.317128, -1.82233, 0.089044, 0.355245, -0.0790038, 0.00950815, -0.0744805, -0.233742, -0.117706, 0.658776, 0.117706, 0.0240972, -0.319394, -1.82417, 0.0868392, 0.359097, -0.0764494, 0.00602639, -0.0758811, -0.238562, -0.12764, 0.651093, 0.131874, 
26.186, 0.0229566, -0.325476, -1.8462, 0.0757166, 0.422264, -0.0664833, -0, -0.0903274, -0.238496, -0.141438, 0.681558, 0.127199, 0.0242733, -0.328082, -1.8481, 0.0732635, 0.426193, -0.0626786, -0.00252976, -0.0933661, -0.232688, -0.137982, 0.669019, 0.137335, 
26.286, 0.0229939, -0.335198, -1.86812, 0.0629995, 0.487437, -0.0548056, -0, -0.10142, -0.211556, -0.114859, 0.645487, 0.102519, 0.0237765, -0.337711, -1.86997, 0.0605265, 0.491256, -0.050178, -0.00624061, -0.0991743, -0.20257, -0.112478, 0.629993, 0.109276, 
26.386, 0.022955, -0.345486, -1.88656, 0.0533799, 0.547983, -0.0462131, -0, -0.103797, -0.169562, -0.0749904, 0.586634, 0.0683457, 0.0231701, -0.347834, -1.88835, 0.0510324, 0.551766, -0.0410186, -0.00542033, -0.102157, -0.167693, -0.0782228, 0.581982, 0.0751053, 
26.486, 0.0229027, -0.355773, -1.90206, 0.046738, 0.604135, -0.0405916, -0, -0.105382, -0.142622, -0.054107, 0.542968, 0.0474623, 0.0227161, -0.358193, -1.90361, 0.0445747, 0.607832, -0.0348284, -0.0037362, -0.105392, -0.138157, -0.053104, 0.540354, 0.0508003, 
26.586, 0.0228457, -0.366518, -1.91493, 0.0421579, 0.656556, -0.0367424, -0, -0.106174, -0.118059, -0.0389191, 0.491709, 0.0332236, 0.0224155, -0.368737, -1.91637, 0.040135, 0.66007, -0.0305757, -0.00248224, -0.106622, -0.116107, -0.03747, 0.504916, 0.0358608, 
26.685, 0.0227918, -0.377025, -1.92589, 0.0388498, 0.70562, -0.0338501, -0, -0.106967, -0.10459, -0.0294266, 0.484115, 0.0275281, 0.0222123, -0.379357, -1.92719, 0.0369201, 0.709021, -0.0274913, -0.00175219, -0.106637, -0.0994722, -0.0280269, 0.474244, 0.0268618, 
26.786, 0.0227308, -0.38783, -1.93518, 0.0362109, 0.751796, -0.0314466, -0, -0.106967, -0.0808192, -0.0218326, 0.446145, 0.0208834, 0.0220628, -0.390002, -1.93645, 0.0344611, 0.755081, -0.0251307, -0.00133729, -0.106035, -0.0857245, -0.0218468, 0.447113, 0.0209894, 
26.886, 0.022665, -0.398562, -1.94303, 0.0340437, 0.795257, -0.0295225, -0, -0.108551, -0.0760652, -0.0189849, 0.433805, 0.0170864, 0.0219405, -0.400613, -1.94432, 0.032496, 0.798447, -0.0232479, -0.00105122, -0.104741, -0.0744419, -0.0175099, 0.421917, 0.0167718, 
26.986, 0.0226056, -0.409087, -1.94995, 0.032299, 0.836362, -0.0278983, -0.00237704, -0.107759, -0.0657647, -0.0142387, 0.398683, 0.0161372, 0.0218368, -0.411114, -1.95107, 0.0308874, 0.839356, -0.0217088, -0.000935538, -0.103872, -0.0631186, -0.0145586, 0.397852, 0.0139329, 
27.086, 0.0225406, -0.41966, -1.95583, 0.0307812, 0.8751, -0.0264896, -0, -0.102213, -0.0515025, -0.0151879, 0.368307, 0.0132894, 0.0217435, -0.42147, -1.95679, 0.0295386, 0.877948, -0.0204243, -0.000942702, -0.102928, -0.0519707, -0.0125929, 0.374275, 0.011882, 
27.186, 0.0224701, -0.429725, -1.96068, 0.0294684, 0.911664, -0.0252328, -0, -0.0982508, -0.0475407, -0.0104417, 0.359764, 0.00949246, 0.021658, -0.431633, -1.96164, 0.0283921, 0.914364, -0.0193371, -0.000740999, -0.0994999, -0.0463769, -0.010413, 0.354667, 0.00993695, 
27.286, 0.0224028, -0.439829, -1.96463, 0.0283018, 0.946127, -0.0241023, -0.00237704, -0.0998355, -0.0372402, -0.0132894, 0.328439, 0.00854321, 0.0215776, -0.441572, -1.96569, 0.0274035, 0.948723, -0.0184049, -0.00078044, -0.0982298, -0.0369036, -0.00919446, 0.333828, 0.00865904, 
27.386, 0.0223394, -0.449601, -1.96813, 0.0272889, 0.978432, -0.0231189, -0, -0.0919121, -0.0285244, -0.0113909, 0.298063, 0.00949246, 0.021498, -0.451149, -1.9691, 0.0265353, 0.980919, -0.017593, -0.0008824, -0.0937063, -0.0294367, -0.00833408, 0.307781, 0.00756611, 
27.486, 0.0222617, -0.458711, -1.9709, 0.0263416, 1.00847, -0.0222684, -0, -0.0927044, -0.0245627, -0.00949246, 0.286672, 0.00759396, 0.0214219, -0.460322, -1.97182, 0.0257818, 1.01078, -0.0168962, -0.000767446, -0.0902344, -0.0237775, -0.00712619, 0.288516, 0.00659836, 
27.586, 0.0222094, -0.467777, -1.97316, 0.0255129, 1.03671, -0.0215232, -0, -0.0879503, -0.0198086, -0.00759396, 0.275281, 0.00569547, 0.0213517, -0.469178, -1.97397, 0.0251252, 1.0388, -0.0162923, -0.000648321, -0.0867683, -0.0198243, -0.0060999, 0.272406, 0.00558834, 
27.686, 0.0221397, -0.476352, -1.97488, 0.0247867, 1.06329, -0.0208502, -0, -0.084781, -0.0158469, -0.00664472, 0.259144, 0.00474623, 0.0212871, -0.477724, -1.9757, 0.0245471, 1.06525, -0.0157645, -0.000620512, -0.0838203, -0.0155737, -0.00543984, 0.257131, 0.00497041, 
